concessionaria,ano_do_pnv_snv,rodovia,sentido,latitude,longitude,km
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0359,-48.86026,7.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.03769,-48.86005,7.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.03859,-48.85994,7.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.03949,-48.85983,7.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04039,-48.85972,7.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04129,-48.85966,7.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04219,-48.85965,7.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0431,-48.85964,7.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.044,-48.85963,7.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04509,-48.85963,8.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04689,-48.85962,8.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0478,-48.85961,8.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.04871,-48.8596,8.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0496,-48.8596,8.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05051,-48.8596,8.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05141,-48.85959,8.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05232,-48.85958,8.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05322,-48.85958,8.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05386,-48.85957,9.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05567,-48.85956,9.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05657,-48.85962,9.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05748,-48.85971,9.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05838,-48.8598,9.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.05927,-48.85985,9.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06018,-48.85992,9.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06107,-48.86,9.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06198,-48.86008,9.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06296,-48.86017,10.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06387,-48.86024,10.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06477,-48.86032,10.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06567,-48.86041,10.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06658,-48.8605,10.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06748,-48.86057,10.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06838,-48.86063,10.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.06928,-48.86071,10.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07018,-48.86079,10.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07108,-48.86087,10.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07225,-48.86097,11.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07405,-48.86112,11.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07496,-48.8612,11.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07585,-48.86128,11.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07676,-48.86135,11.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07765,-48.86143,11.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07855,-48.86151,11.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.07945,-48.86158,11.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08036,-48.86166,11.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08099,-48.86171,12.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08279,-48.86187,12.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08368,-48.86194,12.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08458,-48.86202,12.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08547,-48.8621,12.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08637,-48.86218,12.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08727,-48.8623,12.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08814,-48.86255,12.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08898,-48.86294,12.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.08987,-48.86342,13.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09149,-48.86431,13.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09231,-48.86474,13.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09314,-48.86517,13.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09395,-48.86558,13.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09479,-48.86599,13.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.0956,-48.86642,13.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09641,-48.86684,13.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09723,-48.86728,13.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09796,-48.86766,14.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.09959,-48.86852,14.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10041,-48.86895,14.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10122,-48.86937,14.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10205,-48.8698,14.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10286,-48.87023,14.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10366,-48.87069,14.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10441,-48.87125,14.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10519,-48.87175,14.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10611,-48.8722,15.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-26.10782,-48.87284,15.2
