concessionaria,ano_do_pnv_snv,rodovia,sentido,latitude,longitude,km
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.65836,-48.67809,215.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.6592,-48.67771,215.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66003,-48.67734,216.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66171,-48.67658,216.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66254,-48.67621,216.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66338,-48.67584,216.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66423,-48.67548,216.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66507,-48.67511,216.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66591,-48.67475,216.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66676,-48.67439,216.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.6676,-48.67403,216.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.66837,-48.67371,217.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67007,-48.67305,217.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67093,-48.67273,217.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67178,-48.67242,217.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67263,-48.67208,217.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67348,-48.67173,217.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67433,-48.67137,217.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67518,-48.67101,217.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67602,-48.67065,217.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67686,-48.6703,218.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67855,-48.66958,218.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.67939,-48.66922,218.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68024,-48.66887,218.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68108,-48.66851,218.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68193,-48.66816,218.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68277,-48.66779,218.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68362,-48.66744,218.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68446,-48.66708,218.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68522,-48.66676,219.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68691,-48.66604,219.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68776,-48.66568,219.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.6886,-48.66532,219.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.68945,-48.66496,219.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69029,-48.6646,219.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69114,-48.66424,219.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69198,-48.66388,219.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69283,-48.66351,219.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69384,-48.66308,220.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69469,-48.66273,220.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69553,-48.66237,220.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69638,-48.66201,220.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69721,-48.66166,220.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69806,-48.6613,220.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.6989,-48.66094,220.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.69974,-48.66058,220.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70059,-48.66022,220.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70144,-48.65986,220.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70186,-48.65968,221.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7027,-48.65932,221.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70354,-48.65896,221.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70439,-48.6586,221.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70523,-48.65824,221.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70607,-48.65788,221.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70691,-48.65749,221.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70768,-48.65695,221.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70836,-48.6563,221.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70895,-48.65553,221.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.70964,-48.65459,222.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7102,-48.6538,222.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71077,-48.65302,222.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71134,-48.65223,222.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71192,-48.65146,222.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71261,-48.65081,222.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71338,-48.65027,222.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71415,-48.64977,222.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71494,-48.64926,222.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71572,-48.64876,222.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71721,-48.64779,223.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.718,-48.64728,223.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71879,-48.64677,223.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.71956,-48.64627,223.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72035,-48.64576,223.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72113,-48.64525,223.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72191,-48.64475,223.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72273,-48.64433,223.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7236,-48.64403,223.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72446,-48.64375,223.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72461,-48.64369,224.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72547,-48.64341,224.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72634,-48.64313,224.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72721,-48.64285,224.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72808,-48.64257,224.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72894,-48.6423,224.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.72981,-48.64202,224.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73068,-48.64174,224.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73154,-48.64146,224.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73241,-48.64119,224.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73375,-48.64076,225.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73461,-48.64049,225.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73548,-48.64022,225.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73635,-48.63994,225.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73721,-48.63966,225.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73808,-48.63939,225.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73895,-48.63911,225.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.73981,-48.63883,225.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74069,-48.63855,225.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74155,-48.63827,225.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74207,-48.63811,226.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74294,-48.63783,226.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74381,-48.63755,226.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74468,-48.63728,226.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74555,-48.63699,226.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7464,-48.63665,226.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74725,-48.63629,226.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74809,-48.63592,226.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74893,-48.63555,226.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.74977,-48.63518,226.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75053,-48.63485,227.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75136,-48.63448,227.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75221,-48.6341,227.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75303,-48.6337,227.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75385,-48.63329,227.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75469,-48.6329,227.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75553,-48.63253,227.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75637,-48.63216,227.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75722,-48.63179,227.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75806,-48.63142,227.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7589,-48.63105,228.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.75976,-48.63076,228.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76065,-48.63063,228.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76155,-48.63066,228.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76245,-48.63071,228.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76336,-48.63076,228.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76425,-48.63081,228.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76516,-48.63088,228.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76606,-48.63096,228.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76695,-48.63106,228.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76782,-48.63134,229.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76859,-48.63187,229.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.76928,-48.63252,229.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77004,-48.63306,229.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7709,-48.63337,229.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7718,-48.63356,229.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77267,-48.63378,229.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77356,-48.63403,229.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77444,-48.63424,229.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77532,-48.63443,229.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77656,-48.6347,230.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77745,-48.63488,230.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77833,-48.63508,230.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.77922,-48.63526,230.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7801,-48.63545,230.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78099,-48.63564,230.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78189,-48.63573,230.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78278,-48.63566,230.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78367,-48.63546,230.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78456,-48.63533,230.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78502,-48.63533,231.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7859,-48.63545,231.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78676,-48.63574,231.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7876,-48.63613,231.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78844,-48.63652,231.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.78926,-48.63691,231.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79008,-48.63734,231.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79089,-48.63777,231.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79173,-48.63816,231.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79262,-48.63834,231.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79352,-48.6383,232.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79442,-48.63824,232.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79532,-48.63817,232.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79621,-48.63802,232.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.7971,-48.63777,232.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79797,-48.6375,232.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79885,-48.63737,232.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.79974,-48.63741,232.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80064,-48.63752,232.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80153,-48.63763,232.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80285,-48.63797,233.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80372,-48.63823,233.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8046,-48.63849,233.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80548,-48.63873,233.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80638,-48.63883,233.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80729,-48.63874,233.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80818,-48.63862,233.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8089,-48.63801,233.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80926,-48.63709,233.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.80972,-48.6362,233.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81014,-48.63569,234.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8108,-48.635,234.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81145,-48.63429,234.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81216,-48.63367,234.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81298,-48.63322,234.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81383,-48.63291,234.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81469,-48.6326,234.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81556,-48.6323,234.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81643,-48.632,234.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81728,-48.6317,234.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81806,-48.63142,235.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.81892,-48.63112,235.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8198,-48.6309,235.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8207,-48.6308,235.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.82161,-48.63072,235.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8225,-48.63064,235.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8234,-48.63056,235.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8243,-48.63048,235.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.82521,-48.6304,235.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.82611,-48.63032,235.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.82674,-48.63026,236.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.82764,-48.63018,236.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.82854,-48.6301,236.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.82944,-48.63002,236.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83034,-48.62993,236.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83124,-48.62986,236.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83213,-48.62991,236.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83302,-48.63012,236.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83386,-48.63048,236.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83469,-48.63088,236.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83577,-48.63141,237.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83659,-48.63182,237.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83742,-48.63223,237.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83826,-48.63264,237.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83908,-48.63304,237.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.83991,-48.63345,237.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84073,-48.63385,237.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84156,-48.63426,237.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84239,-48.63467,237.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84321,-48.63507,237.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84405,-48.63548,238.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84487,-48.63588,238.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8457,-48.6363,238.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84653,-48.6367,238.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84736,-48.6371,238.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84817,-48.63755,238.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8489,-48.63813,238.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.84956,-48.63882,238.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8502,-48.63953,238.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85085,-48.64024,238.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85147,-48.64086,239.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8522,-48.64142,239.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85302,-48.64187,239.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85386,-48.64223,239.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85471,-48.64257,239.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85556,-48.64293,239.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85641,-48.64328,239.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85726,-48.64363,239.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8581,-48.64398,239.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85895,-48.64433,239.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.85998,-48.64475,240.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86082,-48.6451,240.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86168,-48.64545,240.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86253,-48.64576,240.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86342,-48.64596,240.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86432,-48.64607,240.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86521,-48.64614,240.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86612,-48.64621,240.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86701,-48.64628,240.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86791,-48.64636,240.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86872,-48.64642,241.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.86963,-48.6465,241.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87052,-48.64657,241.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87143,-48.64665,241.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87233,-48.64672,241.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87323,-48.64679,241.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87413,-48.64687,241.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87503,-48.64694,241.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87594,-48.64702,241.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87683,-48.64709,241.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87756,-48.64714,242.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87847,-48.64722,242.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.87936,-48.64729,242.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88026,-48.64737,242.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88117,-48.64745,242.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88207,-48.64752,242.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88297,-48.64761,242.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88384,-48.64788,242.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88472,-48.64813,242.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88562,-48.64816,242.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88649,-48.64795,243.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88739,-48.64795,243.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8883,-48.64803,243.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.88919,-48.64809,243.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8901,-48.64817,243.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89099,-48.64824,243.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89189,-48.64832,243.6
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89279,-48.64839,243.7
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8937,-48.64846,243.8
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.8946,-48.64854,243.9
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89585,-48.64864,244.0
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89676,-48.64871,244.1
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89766,-48.64879,244.2
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89856,-48.64887,244.3
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.89946,-48.64893,244.4
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.90024,-48.649011,244.5
AUTOPISTA LITORAL SUL,2009,BR-101/SC,Crescente,-27.901312,-48.649091,244.6
