concessionaria;ano_do_pnv_snv;rodovia;km_m;sentido;latitude;longitude
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;494,755;Crescente;-19,970150;-44,182278
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;494,948;Crescente;-19,971608;-44,183414
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;495,120;Crescente;-19,973103;-44,184629
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;495,320;Crescente;-19,974282;-44,186050
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;495,490;Crescente;-19,974607;-44,188002
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;495,902;Crescente;-19,975043;-44,191979
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,026;Crescente;-19,975129;-44,193535
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,206;Crescente;-19,975082;-44,195299
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,226;Crescente;-19,975315;-44,195437
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,246;Crescente;-19,975354;-44,195814
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,257;Crescente;-19,975293;-44,195923
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,450;Crescente;-19,975561;-44,197832
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,597;Crescente;-19,976276;-44,199519
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,744;Crescente;-19,978007;-44,200055
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;496,891;Crescente;-19,978566;-44,200130
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;497,101;Crescente;-19,979889;-44,200787
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;497,288;Crescente;-19,981513;-44,201426
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;500,235;Crescente;-20,004931;-44,213810
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;500,435;Crescente;-20,006243;-44,215086
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;500,635;Crescente;-20,007617;-44,216351
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;500,835;Crescente;-20,009000;-44,217587
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;500,862;Crescente;-20,009170;-44,217722
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;501,062;Crescente;-20,009606;-44,218091
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;501,262;Crescente;-20,010947;-44,219372
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;501,462;Crescente;-20,012397;-44,220513
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;501,560;Crescente;-20,014466;-44,221724
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;502,231;Crescente;-20,017914;-44,226152
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;502,431;Crescente;-20,018565;-44,227936
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;502,631;Crescente;-20,020086;-44,228969
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;502,831;Crescente;-20,021791;-44,229602
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;503,031;Crescente;-20,023520;-44,230158
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;503,142;Crescente;-20,024442;-44,230663
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;506,955;Crescente;-20,040633;-44,261546
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;507,155;Crescente;-20,041266;-44,263338
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;507,355;Crescente;-20,041898;-44,265129
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;507,555;Crescente;-20,042324;-44,266987
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;507,755;Crescente;-20,043037;-44,268745
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;507,850;Crescente;-20,043503;-44,269586
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;508,050;Crescente;-20,044108;-44,271340
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;508,250;Crescente;-20,044835;-44,273070
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;508,450;Crescente;-20,046072;-44,274401
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;508,551;Crescente;-20,046295;-44,274514
