geometry
POINT (-6240412.691513481 -1761516.7251463314)
POINT (-6238287.602434237 -1763008.602866484)
POINT (-6238125.4099361515 -1763080.3901493214)
POINT (-6238001.845301371 -1763107.6716859092)
POINT (-6237706.95997026 -1763105.937689003)
POINT (-6236984.830433483 -1763036.462317535)
POINT (-6236655.1021017535 -1763055.189435849)
POINT (-6235012.916973571 -1763744.4039424802)
POINT (-6234293.013826611 -1764039.5400128288)
POINT (-6231718.082685072 -1765132.0263864594)
POINT (-6233553.629768763 -1764339.1883933884)
POINT (-6255983.393968699 -1763749.7216769282)
POINT (-6255476.556327118 -1764114.4517519572)
POINT (-6254543.253716307 -1763697.8160157204)
POINT (-6255496.705154951 -1764101.8508409637)
POINT (-6253816.226121935 -1763376.095939607)
POINT (-6253717.3744141115 -1763333.323567704)
POINT (-6253672.512659321 -1763317.9486529164)
POINT (-6253594.366376785 -1763278.8756061697)
POINT (-6253722.049832724 -1763316.6770438703)
POINT (-6253526.684126383 -1763293.3256899016)
POINT (-6253455.217013293 -1763266.5063415065)
POINT (-6252847.969191015 -1763104.5504915698)
POINT (-6253487.388346132 -1763252.7498771881)
POINT (-6252796.428266779 -1763110.79288066)
POINT (-6252753.236304351 -1763106.053288793)
POINT (-6252698.801073352 -1763109.1744833302)
POINT (-6251539.742535213 -1763501.9858830255)
POINT (-6251478.182856804 -1763523.950220957)
POINT (-6251396.808309034 -1763537.8224448962)
POINT (-6251315.433761265 -1763562.5612644465)
POINT (-6251275.136105597 -1763584.4100565023)
POINT (-6251209.45760603 -1763630.997759873)
POINT (-6250932.049434973 -1763837.1176578673)
POINT (-6250842.771203357 -1763898.5031232897)
POINT (-6250793.345349444 -1763923.0111125621)
POINT (-6250753.38165225 -1763940.1204786187)
POINT (-6250341.833494787 -1764072.8340898084)
POINT (-6250282.2775672125 -1764100.1167711695)
POINT (-6250253.557138587 -1764102.5444689172)
POINT (-6250216.4877481535 -1764110.4055871444)
POINT (-6250126.986877556 -1764135.9542394346)
POINT (-6250095.928739625 -1764138.0351263569)
POINT (-6250065.87247711 -1764136.647868388)
POINT (-6250037.4860069575 -1764129.8271845588)
POINT (-6250008.097661389 -1764117.6886843056)
POINT (-6249870.952048731 -1764043.12374803)
POINT (-6249849.578706499 -1764024.6270560499)
POINT (-6249825.867654961 -1763989.483381148)
POINT (-6249771.321104471 -1763893.3009590232)
POINT (-6249760.189155391 -1763880.7001658767)
POINT (-6249739.372410614 -1763862.2036009429)
POINT (-6249713.65760824 -1763843.9382572675)
POINT (-6249446.379510846 -1763700.5904802533)
POINT (-6249169.416617753 -1763562.0988563674)
POINT (-6249051.751915983 -1763502.1014847504)
POINT (-6248934.866450651 -1763315.7522373341)
POINT (-6248906.479980498 -1763284.7712392658)
POINT (-6248841.135439403 -1763239.1090213086)
POINT (-6248807.405633693 -1763223.8497681208)
POINT (-6248759.092974689 -1763212.7521356207)
POINT (-6248556.268862462 -1763183.3896747404)
POINT (-6248537.6785075 -1763181.4244719676)
POINT (-6248401.64608975 -1763280.9564176823)
POINT (-6248372.257744181 -1763297.024912756)
POINT (-6248335.744951202 -1763308.3537863463)
POINT (-6248295.558615024 -1763310.3189996646)
POINT (-6248256.374154265 -1763310.3189996646)
POINT (-6248225.538655316 -1763300.0305317512)
POINT (-6248196.484268219 -1763289.626467626)
POINT (-6247946.015413934 -1763241.305429775)
POINT (-6247859.6314890785 -1763229.7453875036)
POINT (-6247818.8885554485 -1763216.2201452178)
POINT (-6247727.495253507 -1763194.602893689)
POINT (-6247692.318294416 -1763177.1472664953)
POINT (-6247659.367725142 -1763151.0216498591)
POINT (-6247688.310792747 -1763159.6916521813)
POINT (-6247723.821710311 -1763179.8060698058)
POINT (-6247774.583398112 -1763193.5624917073)
POINT (-6247793.507711547 -1763197.1460987255)
POINT (-6247865.865380563 -1763208.1281236156)
POINT (-6248173.218494643 -1763274.9451849211)
POINT (-6248240.789425554 -1763284.1932359564)
POINT (-6248283.202151547 -1763294.9440998293)
POINT (-6248325.169599576 -1763295.9845062695)
POINT (-6248369.140798439 -1763281.6500215612)
POINT (-6248404.429077021 -1763258.761104309)
POINT (-6248464.875560522 -1763205.7005176747)
POINT (-6248499.273283177 -1763172.6388615645)
POINT (-6248540.684133751 -1763167.3212568534)
POINT (-6248742.39505107 -1763199.6893040363)
POINT (-6248810.411259944 -1763214.832941318)
POINT (-6248857.054126587 -1763235.6410083561)
POINT (-6248940.098466718 -1763305.9261701205)
POINT (-6249065.778171823 -1763499.0958400795)
POINT (-6249169.973215206 -1763551.8102789398)
POINT (-6249310.9036905505 -1763620.8247547792)
POINT (-6249451.722846404 -1763691.5734717129)
POINT (-6249589.647695497 -1763766.2529025234)
POINT (-6249698.963435455 -1763826.0197376234)
POINT (-6249726.2367107 -1763842.319809774)
POINT (-6249754.28922238 -1763862.5504114025)
POINT (-6249771.432423961 -1763879.6597337155)
POINT (-6249799.26229666 -1763921.161452108)
POINT (-6249831.210990518 -1763981.6223031208)
POINT (-6249846.239121775 -1764007.170816264)
POINT (-6249869.2822563695 -1764031.9101267895)
POINT (-6249895.4423367055 -1764047.9791320723)
POINT (-6250022.34655621 -1764115.376589726)
POINT (-6250054.851847522 -1764126.1278314404)
POINT (-6250088.35901425 -1764129.7115797652)
POINT (-6250122.422778433 -1764127.2838792282)
POINT (-6250159.046890905 -1764117.5730795714)
POINT (-6250736.795048122 -1763935.7275320983)
POINT (-6250811.045148481 -1763903.0116665796)
POINT (-6251295.06229445 -1763558.283990058)
POINT (-6251358.959682166 -1763533.5451749805)
POINT (-6251421.743874973 -1763516.3205012581)
POINT (-6251471.726326339 -1763500.3674589319)
POINT (-6251770.396520137 -1763424.6484554922)
POINT (-6252644.922439808 -1763104.088092444)
POINT (-6252685.776692931 -1763093.6841144913)
POINT (-6252760.026793289 -1763089.4069248824)
POINT (-6252793.86791849 -1763093.2217155772)
POINT (-6253379.853718027 -1763228.9361847562)
POINT (-6252979.660148624 -1763136.1092532978)
POINT (-6253973.743201409 -1763426.2668744046)
POINT (-6253904.502478135 -1763394.823326785)
POINT (-6253775.928466268 -1763337.600801414)
POINT (-6253517.778567119 -1763258.0675011016)
POINT (-6253244.9344951855 -1763197.377299197)
POINT (-6233594.484021883 -1764336.2982481234)
POINT (-6234288.227088507 -1764025.6674945897)
POINT (-6234853.173504283 -1763800.3558170067)
POINT (-6234824.4530756585 -1763796.8877217618)
POINT (-6235133.4759821 -1763692.0358823237)
POINT (-6235118.781809315 -1763665.678491941)
POINT (-6235173.217040313 -1763644.7544441747)
POINT (-6235253.478393176 -1763618.97511796)
POINT (-6236066.333314949 -1763276.4479929684)
POINT (-6236111.417708719 -1763247.3166539883)
POINT (-6236319.4738370115 -1763158.3044515967)
POINT (-6237486.6586979795 -1763062.9346063982)
POINT (-6237555.788101762 -1763063.0502059776)
POINT (-6237604.991316693 -1763065.246598099)
POINT (-6237710.076916002 -1763074.2633678878)
POINT (-6237751.487766577 -1763077.5001578813)
POINT (-6237831.86043893 -1763089.6381243006)
POINT (-6237887.742823307 -1763097.9613048735)
POINT (-6237948.968543244 -1763099.579701436)
POINT (-6238085.000960994 -1763079.9277506673)
POINT (-6238172.609400247 -1763050.7966536789)
POINT (-6238210.569346608 -1763033.6879308973)
POINT (-6239186.618641884 -1762360.7931792664)
POINT (-6239859.767602711 -1761888.7032135543)
POINT (-6239908.748178659 -1761844.8931872786)
POINT (-6239947.932639419 -1761819.9249763826)
POINT (-6239967.74750878 -1761806.0537594853)
POINT (-6239997.1358543495 -1761786.9808495222)
POINT (-6240061.144561555 -1761746.7543988863)
POINT (-6240086.748044438 -1761731.727294058)
POINT (-6240422.8215871435 -1761489.7922191883)
POINT (-6240524.456282237 -1761410.0339451048)
POINT (-6240615.2929867245 -1761340.101186695)
POINT (-6240623.085351081 -1761351.0823499667)
POINT (-6240527.127950016 -1761423.0957889864)
POINT (-6240703.791981905 -1761311.55018602)
POINT (-6240645.237929748 -1761336.171087393)
POINT (-6241086.397071762 -1760972.8709010708)
POINT (-6240886.021988333 -1761144.7529226649)
POINT (-6240856.299684292 -1761174.5752161474)
POINT (-6240801.30785584 -1761244.2763043467)
POINT (-6240775.704372957 -1761272.4804514046)
POINT (-6240755.666864615 -1761285.8889921142)
POINT (-6240743.644359609 -1761242.6580346331)
POINT (-6241081.165055694 -1760956.4572157671)
POINT (-6241237.68025975 -1760820.2934199118)
POINT (-6241262.170547724 -1760797.9848250982)
POINT (-6241306.587024551 -1760740.1906357354)
POINT (-6241395.086019731 -1760663.6713459534)
POINT (-6241419.2423492335 -1760640.0914333623)
POINT (-6241485.700085237 -1760598.8266428043)
POINT (-6242007.677177567 -1760152.894079529)
POINT (-6241747.07824962 -1760380.9451168256)
POINT (-6241535.014619659 -1760577.905305863)
POINT (-6241488.92835047 -1760624.4870923464)
POINT (-6241414.900889092 -1760693.1462696984)
POINT (-6241335.752731139 -1760770.2435966064)
POINT (-6241310.149248256 -1760787.5818606068)
POINT (-6241262.504506197 -1760814.8607549907)
POINT (-6241828.230158408 -1760288.1293512166)
POINT (-6241991.647170892 -1760138.3303270745)
POINT (-6241999.550854739 -1760130.239357357)
POINT (-6242763.313881071 -1759476.7292968456)
POINT (-6242867.5089244535 -1759332.830050427)
POINT (-6242912.481998734 -1759382.0677665554)
POINT (-6242939.532634998 -1759412.8124956277)
POINT (-6242951.2211815305 -1759411.42551451)
POINT (-6242958.345628941 -1759409.460624732)
POINT (-6242972.03792631 -1759405.5308456644)
POINT (-6242979.496332192 -1759400.4452501917)
POINT (-6242986.17550164 -1759393.6259307016)
POINT (-6242991.630156688 -1759386.2287049987)
POINT (-6242996.973492246 -1759359.413781174)
POINT (-6242995.415019375 -1759347.162145039)
POINT (-6242987.400016039 -1759336.875398835)
POINT (-6242969.477578021 -1759324.6237743478)
POINT (-6242959.904101812 -1759322.7744730888)
POINT (-6242949.551389169 -1759323.0056357384)
POINT (-6242919.272487673 -1759336.4130732676)
POINT (-6242778.342012329 -1759439.165152284)
POINT (-6242785.800418211 -1759410.3852787248)
POINT (-6242784.1306258505 -1759402.8724660769)
POINT (-6242780.123124181 -1759395.9375642075)
POINT (-6242767.432702231 -1759380.91195045)
POINT (-6242740.493385459 -1759347.3933079266)
POINT (-6242737.042481245 -1759335.4884221603)
POINT (-6242736.485883791 -1759321.0407532891)
POINT (-6242742.163177821 -1759245.450693302)
POINT (-6242734.370813465 -1759225.8019404178)
POINT (-6242728.582199944 -1759217.4801205762)
POINT (-6242673.701690983 -1759145.1266433913)
POINT (-6242758.7497819485 -1759209.5050459693)
POINT (-6242391.729420803 -1758793.8802329013)
POINT (-6242423.789434153 -1758842.192197925)
POINT (-6242426.238462949 -1758867.5040083677)
POINT (-6242405.978315625 -1758843.0012508084)
POINT (-6242389.614350479 -1758816.4180990728)
POINT (-6242362.452394725 -1758743.3723747088)
POINT (-6242358.778851529 -1758709.276741784)
POINT (-6242357.220378657 -1758677.9550340618)
POINT (-6242415.885750306 -1758530.7088886527)
POINT (-6242372.805107368 -1758650.331864903)
POINT (-6242371.246634497 -1758679.9198632198)
POINT (-6242374.252260749 -1758728.8094882076)
POINT (-6242378.705040381 -1758758.6287415868)
POINT (-6124758.419748717 -1797457.914373591)
POINT (-6125284.293023225 -1795774.5736623465)
POINT (-6125337.392420333 -1795652.0989158715)
POINT (-6125413.534952035 -1795533.907924403)
POINT (-6125505.818809903 -1795430.3031909538)
POINT (-6126339.156517982 -1794688.992955811)
POINT (-6126445.57795118 -1794618.4979441154)
POINT (-6126507.805546533 -1794587.7070864977)
POINT (-6127131.75129243 -1794438.0363177557)
POINT (-6127247.857521326 -1794399.7216817904)
POINT (-6127391.45966445 -1794319.735741782)
POINT (-6128591.3724557115 -1793412.8232222178)
POINT (-6128688.220412701 -1793355.2959492549)
POINT (-6128831.15463888 -1793317.0988445354)
POINT (-6128997.020680161 -1793334.113910715)
POINT (-6131936.63447354 -1793910.2027765522)
POINT (-6132133.781291735 -1793936.4784174664)
POINT (-6132247.104533362 -1793925.5977519907)
POINT (-6132370.112570689 -1793884.5059229422)
POINT (-6133094.691136262 -1793529.961690343)
POINT (-6133195.435275431 -1793462.248175912)
POINT (-6133344.714712584 -1793297.8845670668)
POINT (-6136109.890863889 -1789611.2357825495)
POINT (-6137142.379140996 -1788248.551290527)
POINT (-6137622.945382751 -1787809.268858417)
POINT (-6139746.364669632 -1786362.1023155763)
POINT (-6140036.240623658 -1786202.8801264928)
POINT (-6144794.146979653 -1784381.9691837814)
POINT (-6144972.035525941 -1784320.1831191955)
POINT (-6147871.685622125 -1783565.4575278359)
POINT (-6155265.971478577 -1782336.0578394681)
POINT (-6155702.900479941 -1782264.4431903346)
POINT (-6155865.64957548 -1782264.32749641)
POINT (-6156000.34615934 -1782295.6805709407)
POINT (-6156257.6055025635 -1782449.0914227942)
POINT (-6158143.24635711 -1783757.9837113724)
POINT (-6158293.193711209 -1783847.073887729)
POINT (-6158392.824655469 -1783883.2885628869)
POINT (-6158506.370536078 -1783901.2223684618)
POINT (-6158625.927669191 -1783898.329818246)
POINT (-6164359.994639952 -1782896.0248456784)
POINT (-6164516.175885535 -1782871.0342970546)
POINT (-6164683.82303867 -1782865.249451639)
POINT (-6164885.422636496 -1782905.743399571)
POINT (-6170273.619949363 -1784477.7726179014)
POINT (-6170820.866566103 -1784751.069111853)
POINT (-6170890.441247849 -1784814.4762061913)
POINT (-6171244.993826025 -1785168.7722955581)
POINT (-6171332.268306807 -1785224.8908819254)
POINT (-6171426.555915508 -1785257.173593673)
POINT (-6171521.288802173 -1785255.2065454454)
POINT (-6171616.133008329 -1785222.576710753)
POINT (-6172895.193957544 -1784617.5445155506)
POINT (-6172964.434680818 -1784595.676175117)
POINT (-6173058.610970029 -1784598.5688115673)
POINT (-6174980.096700612 -1785532.0991388045)
POINT (-6175108.6707124775 -1785587.7557559144)
POINT (-6176982.6230204925 -1785925.979586576)
POINT (-6177196.579081796 -1785962.1974815556)
POINT (-6177275.170642297 -1785966.8259705824)
POINT (-6177409.421948193 -1785943.4521103734)
POINT (-6177527.865886397 -1785901.1015123192)
POINT (-6180015.411227664 -1784067.0239446203)
POINT (-6180144.987114947 -1783984.065158447)
POINT (-6180279.683698807 -1783927.602442937)
POINT (-6180412.710490305 -1783895.5529703747)
POINT (-6181600.60077656 -1783752.082945436)
POINT (-6181743.64632223 -1783724.8931608393)
POINT (-6182180.797962574 -1783574.4821573019)
POINT (-6182299.353220269 -1783522.8798357593)
POINT (-6182419.9122287985 -1783440.732877032)
POINT (-6182483.698297023 -1783374.2056217873)
POINT (-6182551.380547426 -1783276.555523572)
POINT (-6182734.946387744 -1782820.9375831683)
POINT (-6182816.877532968 -1782699.9191739098)
POINT (-6182925.414036491 -1782599.0324122116)
POINT (-6183047.531517891 -1782525.1030543658)
POINT (-6183166.977331512 -1782477.3209801437)
POINT (-6183492.030244629 -1782420.0520366095)
POINT (-6183520.305395289 -1782409.870905757)
POINT (-6183571.178402582 -1782352.3707384765)
POINT (-6183604.574249821 -1782237.6022151012)
POINT (-6183674.816848511 -1782147.824004252)
POINT (-6183761.312092857 -1782105.2488905562)
POINT (-6183949.108073826 -1782088.936163699)
POINT (-6184109.51946006 -1782018.0164265407)
POINT (-6184151.375588597 -1782021.1401298551)
POINT (-6184268.038414949 -1782054.2282720238)
POINT (-6184312.343572284 -1782048.327935555)
POINT (-6184335.831984842 -1782036.1801886822)
POINT (-6184389.042701441 -1781970.5824644496)
POINT (-6184410.416043673 -1781866.6908538514)
POINT (-6184455.834395916 -1781813.125537576)
POINT (-6184489.452882135 -1781798.317005231)
POINT (-6184514.945045528 -1781794.846256817)
POINT (-6184587.302714544 -1781818.3316644526)
POINT (-6184623.704188033 -1781859.7493372739)
POINT (-6184639.177597253 -1781929.7430569804)
POINT (-6184621.032520254 -1781981.4575594652)
POINT (-6184581.959378986 -1782017.5536557145)
POINT (-6184154.715173321 -1782217.0087290984)
POINT (-6184118.536338813 -1782235.6354207122)
POINT (-6184083.915977176 -1782294.060853885)
POINT (-6184085.80840852 -1782369.3778155013)
POINT (-6184107.293070243 -1782405.35881509)
POINT (-6184163.286774112 -1782441.5712595696)
POINT (-6184231.414302478 -1782441.4555647692)
POINT (-6184274.494945414 -1782417.2753641196)
POINT (-6184303.549332512 -1782375.7410107614)
POINT (-6184339.282889056 -1782252.2953313533)
POINT (-6184374.459848146 -1782214.6948553985)
POINT (-6184430.453552016 -1782191.6718245386)
POINT (-6184644.854891283 -1782144.2375107105)
POINT (-6185419.861186186 -1781877.1031325753)
POINT (-6185823.171701331 -1781819.6042734205)
POINT (-6186008.073375538 -1781723.5803364154)
POINT (-6186097.351607155 -1781712.1269051465)
POINT (-6186281.919322889 -1781732.9513298008)
POINT (-6187564.208537337 -1781505.8504097748)
POINT (-6187695.565536473 -1781470.564932098)
POINT (-6188118.0230040345 -1781254.22562424)
POINT (-6188238.804651544 -1781210.4952475103)
POINT (-6188339.771429694 -1781192.794880134)
POINT (-6189482.688641669 -1781224.6092755236)
POINT (-6189696.867341954 -1781220.5601682565)
POINT (-6189943.551333553 -1781205.0578783315)
POINT (-6190032.161648225 -1781160.9805279444)
POINT (-6190114.31543243 -1781093.765620454)
POINT (-6190177.767542182 -1781013.2468112742)
POINT (-6190228.751868965 -1780882.8670848717)
POINT (-6190238.102706191 -1780791.9371992995)
POINT (-6190198.918245433 -1780436.550496236)
POINT (-6190198.361647978 -1780214.089491756)
POINT (-6190226.191520677 -1780061.6187381833)
POINT (-6190273.168345792 -1779917.8251500314)
POINT (-6190401.297079694 -1779695.3690677334)
POINT (-6191167.731773806 -1778700.184463905)
POINT (-6191195.784285487 -1778668.1421415375)
POINT (-6191255.785491023 -1778625.4576717766)
POINT (-6191336.826080321 -1778603.8262763708)
POINT (-6191574.938471128 -1778677.0492087065)
POINT (-6191645.626347782 -1778679.4784094305)
POINT (-6191721.657559994 -1778654.1453285334)
POINT (-6191853.12587862 -1778557.9030057143)
POINT (-6191919.138336661 -1778531.4133010495)
POINT (-6191983.147043867 -1778527.9430362787)
POINT (-6192049.938738343 -1778543.2122051104)
POINT (-6192459.037867009 -1778875.5504402095)
POINT (-6192600.302300825 -1778966.4728938316)
POINT (-6192648.169681867 -1778988.1046236253)
POINT (-6192910.772360648 -1779061.6757897618)
POINT (-6193001.497745644 -1779057.742734161)
POINT (-6193089.32882388 -1779015.9829786082)
POINT (-6193142.316901498 -1778965.4317950401)
POINT (-6193245.621388954 -1778730.9543886685)
POINT (-6193292.041616615 -1778656.3431746506)
POINT (-6193370.855816096 -1778597.5797808738)
POINT (-6193543.846304789 -1778581.5008464113)
POINT (-6194756.115559528 -1778892.5549944392)
POINT (-6194876.117970603 -1778915.6904621643)
POINT (-6194983.207320745 -1778907.014659094)
POINT (-6195081.502431117 -1778869.9979353752)
POINT (-6195140.056483273 -1778827.0817444301)
POINT (-6195254.938197772 -1778649.6339608317)
POINT (-6195740.17985814 -1776984.767141713)
POINT (-6195788.269878163 -1776817.9746523164)
POINT (-6195809.531900905 -1776643.5493771671)
POINT (-6195800.4037026595 -1776126.7584871221)
POINT (-6195810.199817849 -1776042.9024877194)
POINT (-6195832.686354989 -1775968.7624671955)
POINT (-6196089.611739741 -1775518.606865691)
POINT (-6196768.549314088 -1773851.186263319)
POINT (-6196844.023928846 -1773711.5941608157)
POINT (-6197298.986687718 -1773026.9456351553)
POINT (-6197389.266794751 -1772925.9847930889)
POINT (-6198269.803966926 -1772292.5897125264)
POINT (-6198391.476170363 -1772217.7676471106)
POINT (-6200201.753729644 -1771353.2257568522)
POINT (-6201313.501484196 -1770672.6930999486)
POINT (-6201467.233700982 -1770596.2572699285)
POINT (-6201564.860894408 -1770569.4296243808)
POINT (-6201839.263439213 -1770550.5809089243)
POINT (-6205233.3947135 -1770447.7805114535)
POINT (-6216194.468374459 -1770196.9679251916)
POINT (-6221367.819070095 -1770126.1997114809)
POINT (-6221461.884039815 -1770120.9961747413)
POINT (-6221613.167227804 -1770071.2735482834)
POINT (-6222712.78115786 -1769405.578625897)
POINT (-6222880.316991503 -1769289.6013915252)
POINT (-6223097.723957023 -1769031.9790274436)
POINT (-6223194.460594522 -1768940.4011990428)
POINT (-6223349.86260367 -1768845.3548895686)
POINT (-6224778.53694851 -1768186.8633003505)
POINT (-6223889.428175544 -1768603.231350099)
POINT (-6229461.970565164 -1766097.3870631116)
POINT (-6229696.520732267 -1766026.977986713)
POINT (-6232937.25374824 -1764631.2104923688)
POINT (-6232906.306929799 -1764646.470653728)
POINT (-6232866.565871586 -1764663.6961507353)
POINT (-6232702.814900629 -1764734.1011649775)
POINT (-6231781.089516861 -1765120.9278583103)
POINT (-6231724.205257066 -1765143.9341880819)
POINT (-6093122.644979668 -2096992.9278898449)
POINT (-6093055.63064621 -2096800.643282024)
POINT (-6092935.071637681 -2096558.235821341)
POINT (-6089102.675528141 -2088688.916662572)
POINT (-6088516.244450642 -2087565.5154667175)
POINT (-6088272.454765804 -2087124.8082032048)
POINT (-6087333.363541473 -2085703.7218858863)
POINT (-6087145.567560504 -2085507.5560035072)
POINT (-6087236.738223463 -2085584.051085071)
POINT (-6086459.505538745 -2085107.2521114587)
POINT (-6086569.155237176 -2085174.3599478328)
POINT (-6086261.022886661 -2084887.3933839994)
POINT (-6086326.924025211 -2084981.0148975167)
POINT (-6085851.589799523 -2083856.9987955422)
POINT (-6085957.343315776 -2084170.816016781)
POINT (-6085277.0699075395 -2080984.4191313153)
POINT (-6085315.0298539 -2081181.2449189937)
POINT (-6085498.484374727 -2069439.0866427934)
POINT (-6085261.596498319 -2080768.9451808576)
POINT (-6085478.446866385 -2069030.307815191)
POINT (-6085501.490000978 -2069215.177520885)
POINT (-6084801.624362361 -2067200.4579312897)
POINT (-6085437.1473353 -2068886.7037812977)
POINT (-6084212.076339119 -2064551.1594739354)
POINT (-6083996.00520749 -2062136.9325486403)
POINT (-6084744.851422057 -2067008.104662203)
POINT (-6084252.373994786 -2064797.2860383543)
POINT (-6083746.09295066 -2060992.1497207384)
POINT (-6083745.870311677 -2060831.2594999298)
POINT (-6083965.726305994 -2061913.3380232826)
POINT (-6083773.1435869215 -2061142.494750865)
POINT (-6084418.128716578 -2058546.82540267)
POINT (-6085274.954837214 -2056706.5511662785)
POINT (-6083824.79583065 -2060158.0654397318)
POINT (-6083855.297371128 -2059997.5333176795)
POINT (-6086483.884507229 -2055083.633901637)
POINT (-6086612.681158077 -2054952.4284254522)
POINT (-6085497.816457782 -2056239.918518841)
POINT (-6085586.649411435 -2056097.1073897898)
POINT (-6089063.2684284 -2052663.2624137644)
POINT (-6088733.206138198 -2053206.6555531987)
POINT (-6088631.460123613 -2053324.2618282866)
POINT (-6088007.2917387355 -2053823.8617462055)
POINT (-6089194.736747026 -2051988.4629187621)
POINT (-6089207.649807959 -2052208.2007773325)
POINT (-6089192.39903772 -2052347.2365557216)
POINT (-6089148.316519367 -2052493.0670078967)
POINT (-6086914.690936599 -2038469.3837936835)
POINT (-6087223.60252355 -2039837.7841605323)
POINT (-6087351.619937963 -2040601.0375022818)
POINT (-6088633.018596484 -2048417.232787467)
POINT (-6088245.18149056 -2026582.1608747882)
