concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_de_uso_do_solo;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;478,200;-19,961207;-44,037393;517,732;-20,109055;-44,326928
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;517,733;-20,109055;-44,326928;533,000;-20,170812;-44,372938
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;533,001;-20,170812;-44,372938;535,820;-20,193523;-44,383929
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;535,821;-20,193523;-44,383929;539,511;-20,224501;-44,395195
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;539,512;-20,224501;-44,395195;540,674;-20,232625;-44,400888
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;540,675;-20,232625;-44,400888;561,363;-20,374306;-44,472114
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;561,364;-20,374306;-44,472114;565,698;-20,395963;-44,503710
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;565,699;-20,395963;-44,503710;582,185;-20,496572;-44,606632
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;582,186;-20,496572;-44,606632;582,840;-20,501966;-44,608381
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;582,841;-20,501966;-44,608381;586,324;-20,524099;-44,628520
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;586,325;-20,524099;-44,628520;591,000;-20,548555;-44,658937
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;591,001;-20,548555;-44,658937;666,524;-21,052521;-45,009915
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;666,525;-21,052521;-45,009915;668,097;-21,054306;-45,025015
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;668,098;-21,054306;-45,025015;674,659;-21,089623;-45,068861
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;674,660;-21,089623;-45,068861;677,916;-21,109904;-45,092421
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;677,917;-21,109904;-45,092421;722,776;-21,446629;-45,210211
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;722,777;-21,446629;-45,210211;724,306;-21,459332;-45,209463
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;724,307;-21,459332;-45,209463;753,170;-21,663083;-45,308184
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;753,171;-21,663083;-45,308184;755,765;-21,671354;-45,332305
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;755,766;-21,671354;-45,332305;848,796;-22,229312;-45,876059
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;848,797;-22,229312;-45,876059;851,233;-22,248470;-45,886014
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;851,234;-22,248470;-45,886014;866,290;-22,366678;-45,931870
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;866,291;-22,366678;-45,931870;870,838;-22,396051;-45,958798
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;870,839;-22,396051;-45,958798;876,821;-22,439939;-45,985723
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;876,822;-22,439939;-45,985723;877,885;-22,445750;-45,993667
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;877,886;-22,445750;-45,993667;881,000;-22,465991;-46,009360
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;881,001;-22,465991;-46,009360;881,963;-22,474402;-46,010692
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;881,964;-22,474402;-46,010692;895,801;-22,589641;-46,052214
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;895,802;-22,589641;-46,052214;900,358;-22,624142;-46,075495
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;900,359;-22,624142;-46,075495;916,030;-22,737190;-46,135085
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;916,031;-22,737190;-46,135085;920,737;-22,760750;-46,166206
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;920,738;-22,760750;-46,166206;924,035;-22,773219;-46,190877
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;924,036;-22,773219;-46,190877;928,760;-22,770574;-46,231567
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;928,761;-22,770574;-46,231567;930,000;-22,776532;-46,238886
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;930,001;-22,776532;-46,238886;932,168;-22,793337;-46,247404
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;932,169;-22,793337;-46,247404;933,591;-22,799637;-46,257248
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;933,592;-22,799637;-46,257248;936,200;-22,808481;-46,277691
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Rural;936,201;-22,808481;-46,277691;938,412;-22,817213;-46,293635
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;938,413;-22,817213;-46,293635;949,900;-22,879318;-46,372794
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente/Decrescente;Urbano;0,000;-22,879691;-46,373253;12,242;-22,930055;-46,465116
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente/Decrescente;Rural;12,243;-22,930055;-46,465116;20,339;-22,985322;-46,505255
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente/Decrescente;Urbano;20,340;-22,985322;-46,505255;71,450;-23,355501;-46,549017
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente/Decrescente;Rural;71,451;-23,355501;-46,549017;77,412;-23,395800;-46,573062
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente/Decrescente;Urbano;77,413;-23,395800;-46,573062;90,400;-23,499777;-46,559350
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente/Decrescente;Urbano;0,000;-19,959249;-44,153744;7,400;-19,993329;-44,207884
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente/Decrescente;Urbano;477,200;-19,957645;-44,029699;478,199;-19,961207;-44,037393
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Rural;0,000;-21,222611;-41,309475;46,000;-21,641377;-41,311936
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Urbano;46,001;-21,641377;-41,311936;75,090;-21,817955;-41,398224
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Rural;75,091;-21,817955;-41,398224;205,000;-22,475525;-42,188587
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Urbano;205,001;-22,475525;-42,188587;207,000;-22,477570;-42,207533
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Rural;207,001;-22,477570;-42,207533;257,250;-22,698754;-42,580418
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Urbano;257,251;-22,698754;-42,580418;266,000;-22,708406;-42,651886
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Rural;266,001;-22,708406;-42,651886;269,000;-22,714923;-42,678190
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Urbano;269,001;-22,714923;-42,678190;270,750;-22,722550;-42,692937
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Rural;270,751;-22,722550;-42,692937;272,700;-22,732543;-42,713033
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Urbano;272,701;-22,732543;-42,713033;276,000;-22,737920;-42,738991
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Rural;276,001;-22,737920;-42,738991;291,850;-22,759534;-42,880206
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente/Decrescente;Urbano;291,851;-22,759534;-42,880206;322,100;-22,877785;-43,110592
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Crescente;Urbano;264,635;-22,715662;-42,641529;265,345;-22,711105;-42,646443
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Urbano;265,415;-22,710827;-42,647130;264,570;-22,716240;-42,641219
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Crescente;Urbano;273,585;-22,733601;-42,716113;274,900;-22,736205;-42,728324
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Urbano;274,060;-22,736239;-42,727057;273,500;-22,733457;-42,715195
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Crescente;Urbano;293,045;-22,754607;-42,890508;297,450;-22,770648;-42,922037
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Urbano;296,130;-22,767204;-42,913047;295,000;-22,763867;-42,902467
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Urbano;313,855;-22,814868;-43,075367;312,825;-22,808951;-43,067276
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Urbano;320,270;-22,859919;-43,106355;318,665;-22,849530;-43,099771
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;0,000;-25,981624;-48,886367;5,999;-26,026818;-48,861403
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;6,000;-26,026819;-48,861404;7,499;-26,040389;-48,859721
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;7,500;-26,040390;-48,859722;19,999;-26,140630;-48,902892
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;20,000;-26,140631;-48,902893;28,999;-26,218963;-48,916182
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;29,000;-26,218964;-48,916183;34,999;-26,267869;-48,896243
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;35,000;-26,267870;-48,896244;47,999;-26,375096;-48,855113
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;48,000;-26,375097;-48,855114;69,999;-26,512156;-48,722606
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;70,000;-26,512157;-48,722607;74,999;-26,553475;-48,718715
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;75,000;-26,553476;-48,718716;81,999;-26,613332;-48,720809
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;82,000;-26,613333;-48,720810;102,999;-26,783896;-48,682891
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;103,000;-26,783897;-48,682892;111,999;-26,845841;-48,721202
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;112,000;-26,845842;-48,721203;124,999;-26,947930;-48,683448
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;125,000;-26,947931;-48,683449;128,999;-26,980578;-48,679088
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;129,000;-26,980579;-48,679089;138,999;-27,029637;-48,601150
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;139,000;-27,029638;-48,601151;141,999;-27,055818;-48,599647
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;142,000;-27,055819;-48,599648;142,999;-27,064210;-48,595962
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;143,000;-27,064211;-48,595963;145,999;-27,086633;-48,609401
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;146,000;-27,086634;-48,609402;151,999;-27,135602;-48,610003
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;152,000;-27,135603;-48,610004;160,999;-27,215037;-48,623446
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;161,000;-27,215038;-48,623447;163,999;-27,241204;-48,630706
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;164,000;-27,241205;-48,630707;178,999;-27,373485;-48,632964
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;179,000;-27,373486;-48,632965;182,999;-27,407557;-48,628344
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;183,000;-27,407558;-48,628345;191,999;-27,484387;-48,647582
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;192,000;-27,484388;-48,647583;219,999;-27,693841;-48,663081
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;220,000;-27,693842;-48,663082;221,999;-27,709634;-48,654586
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Urbano;222,000;-27,709635;-48,654587;230,999;-27,785014;-48,635329
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente/Decrescente;Rural;231,000;-27,785015;-48,635330;244,680;-27,902641;-48,649209
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente/Decrescente;Urbano;71,100;-25,344021;-49,043320;80,999;-25,424071;-49,074985
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente/Decrescente;Urbano;81,000;-25,424072;-49,074986;85,999;-25,461505;-49,088870
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente/Decrescente;Rural;86,000;-25,461506;-49,088871;91,999;-25,505301;-49,123523
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente/Decrescente;Urbano;92,000;-25,505302;-49,123524;105,999;-25,570079;-49,218089
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente/Decrescente;Rural;106,000;-25,570080;-49,218090;108,999;-25,565003;-49,247527
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente/Decrescente;Urbano;109,000;-25,565004;-49,247528;115,200;-25,544032;-49,304237
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Urbano;614,400;-25,568866;-49,181930;616,999;-25,590274;-49,171500
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Rural;617,000;-25,590275;-49,171501;618,199;-25,600553;-49,173484
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Urbano;618,200;-25,600554;-49,173485;620,999;-25,624518;-49,166167
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Rural;621,000;-25,624519;-49,166168;628,999;-25,693934;-49,144824
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Urbano;629,000;-25,693935;-49,144825;631,999;-25,719916;-49,137240
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Rural;632,000;-25,719917;-49,137241;643,999;-25,820630;-49,128333
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Urbano;644,000;-25,820631;-49,128334;645,499;-25,829493;-49,117228
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente/Decrescente;Rural;645,500;-25,829494;-49,117229;682,123;-25,981056;-48,886721
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;0,900;-25,988864;-48,883674;1,900;-25,996493;-48,879107
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;19,400;-26,136346;-48,899366;20,200;-26,142571;-48,904829
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;22,450;-26,161051;-48,907537;23,410;-26,169438;-48,907350
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;24,150;-26,176108;-48,908068;25,700;-26,189610;-48,911871
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;26,800;-26,199676;-48,912914;27,500;-26,205811;-48,914586
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;29,900;-26,227082;-48,916660;30,700;-26,234600;-48,916163
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;35,300;-26,270358;-48,895147;37,200;-26,286042;-48,887525
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;37,700;-26,290073;-48,885377;42,400;-26,327498;-48,864669
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;42,480;-26,327290;-48,864499;43,040;-26,331669;-48,862028
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;43,410;-26,331671;-48,862017;45,029;-26,348971;-48,857650
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;45,030;-26,349006;-48,857667;45,630;-26,354410;-48,858851
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;46,830;-26,364982;-48,858793;48,569;-26,378962;-48,851741
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;56,300;-26,434972;-48,816243;57,150;-26,437233;-48,808575
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;59,400;-26,448193;-48,790112;59,700;-26,449409;-48,787577
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;61,700;-26,454986;-48,769523;62,500;-26,457299;-48,761353
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;63,400;-26,462181;-48,754767;66,600;-26,483972;-48,735131
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;70,300;-26,514547;-48,721239;71,550;-26,524957;-48,716060
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;73,400;-26,546430;-48,712853;74,600;-26,551196;-48,715951
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;74,900;-26,552749;-48,717990;75,300;-26,555882;-48,720623
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;76,100;-26,567459;-48,720085;77,100;-26,571774;-48,722265
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;82,300;-26,616227;-48,719512;83,000;-26,621941;-48,716572
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;83,010;-26,621900;-48,716487;83,999;-26,626915;-48,710234
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;84,000;-26,626916;-48,710235;84,800;-26,631702;-48,703859
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;84,801;-26,631747;-48,703841;92,600;-26,692378;-48,697601
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;94,900;-26,712688;-48,703059;95,500;-26,717855;-48,702365
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;99,800;-26,755565;-48,689558;101,079;-26,766611;-48,686504
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;101,080;-26,766647;-48,686503;102,980;-26,783283;-48,683141
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;104,300;-26,795544;-48,680122;104,900;-26,801285;-48,678916
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;111,950;-26,845227;-48,720629;119,050;-26,905578;-48,715015
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;122,800;-26,935402;-48,700039;123,400;-26,939497;-48,695983
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;123,600;-26,940630;-48,694818;125,640;-26,952313;-48,679934
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;125,641;-26,952363;-48,679912;126,000;-26,955596;-48,679812
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;129,300;-26,981970;-48,676491;131,999;-26,996582;-48,656117
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;132,000;-26,996864;-48,655122;135,500;-27,006425;-48,622051
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;135,650;-27,007049;-48,620097;138,630;-27,029375;-48,605319
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;142,500;-27,059464;-48,596876;143,440;-27,068208;-48,595678
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;145,750;-27,085331;-48,607307;150,600;-27,123065;-48,609601
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;150,601;-27,123112;-48,609596;151,300;-27,129301;-48,609881
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;151,400;-27,130386;-48,609926;151,900;-27,134702;-48,610041
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;161,300;-27,217331;-48,624760;164,100;-27,241830;-48,630944
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;164,300;-27,244254;-48,631009;164,900;-27,249328;-48,631229
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;169,400;-27,290248;-48,630895;169,800;-27,293802;-48,631170
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;170,800;-27,303498;-48,632380;171,700;-27,311333;-48,632915
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;172,800;-27,319587;-48,628523;173,000;-27,322190;-48,627626
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;179,300;-27,376108;-48,631867;182,300;-27,400771;-48,629925
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;182,301;-27,400787;-48,629917;182,500;-27,403121;-48,629365
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;185,900;-27,433507;-48,625186;186,710;-27,440171;-48,627174
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;188,140;-27,452353;-48,634472;188,590;-27,455802;-48,636754
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;192,170;-27,485864;-48,648464;192,269;-27,486840;-48,650098
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;192,270;-27,486482;-48,649191;192,469;-27,487178;-48,651033
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;192,470;-27,487179;-48,651034;205,300;-27,585071;-48,618059
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;205,301;-27,585209;-48,618104;218,400;-27,680306;-48,669000
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;219,200;-27,686969;-48,666105;220,700;-27,699872;-48,660672
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;221,100;-27,703038;-48,659267;221,800;-27,708388;-48,656353
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;222,900;-27,715779;-48,648837;223,350;-27,719790;-48,646426
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;223,351;-27,719838;-48,646409;223,500;-27,720950;-48,645597
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;223,501;-27,720989;-48,645559;223,700;-27,722785;-48,644404
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Urbano;227,220;-27,752568;-48,633975;229,220;-27,769418;-48,632966
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;237,800;-27,842373;-48,634764;238,600;-27,848858;-48,638205
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Rural;243,300;-27,889640;-48,648227;243,700;-27,893269;-48,648515
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Rural;238,790;-27,850235;-48,639195;237,190;-27,837625;-48,632045
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;229,300;-27,770527;-48,633080;227,100;-27,751330;-48,634365
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;223,600;-27,721403;-48,644944;222,800;-27,715643;-48,648615
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Rural;222,000;-27,709622;-48,654402;221,000;-27,702163;-48,659272
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;220,730;-27,699783;-48,660381;220,230;-27,695757;-48,661851
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;218,400;-27,680178;-48,668599;217,901;-27,676126;-48,670160
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;217,900;-27,676127;-48,670161;208,401;-27,606146;-48,634642
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;208,400;-27,606147;-48,634643;208,301;-27,605547;-48,634087
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;208,300;-27,605548;-48,634088;193,200;-27,490583;-48,656156
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Urbano;192,570;-27,487870;-48,652038;192,140;-27,485593;-48,648040
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Rural;188,970;-27,459188;-48,638600;188,371;-27,454622;-48,635605
