concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_faixa;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;477,200;-19,957420;-44,029360;495,400;-19,974640;-44,187360
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;495,401;-19,974640;-44,187360;495,999;-19,975210;-44,193560
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;496,000;-19,975210;-44,193560;497,600;-19,984150;-44,202410
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;497,601;-19,984150;-44,202410;513,799;-20,081500;-44,307560
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;513,800;-20,081500;-44,307560;521,100;-20,117540;-44,302870
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;521,101;-20,117540;-44,302870;539,899;-20,227810;-44,396160
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;539,900;-20,227810;-44,396160;545,700;-20,266220;-44,423160
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;545,701;-20,266220;-44,423160;620,701;-20,761010;-44,776830
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;620,700;-20,761010;-44,776830;622,400;-20,774790;-44,781880
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;622,399;-20,774790;-44,781880;809,801;-21,991000;-45,667420
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;809,800;-21,991000;-45,667420;810,900;-21,997170;-45,674380
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;810,901;-21,997170;-45,674380;862,599;-22,336750;-45,923490
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;862,600;-22,336750;-45,923490;866,200;-22,365910;-45,931670
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;866,201;-22,365910;-45,931670;878,699;-22,450400;-45,999590
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;878,700;-22,450400;-45,999590;880,300;-22,460200;-46,010010
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;880,301;-22,460200;-46,010010;905,399;-22,662310;-46,089640
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;905,400;-22,662310;-46,089640;908,800;-22,685180;-46,102040
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;908,801;-22,685180;-46,102040;933,899;-22,799560;-46,260190
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;933,900;-22,799560;-46,260190;935,400;-22,803920;-46,272770
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;935,401;-22,803920;-46,272770;941,599;-22,832700;-46,317140
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;941,600;-22,832700;-46,317140;943,600;-22,842840;-46,330420
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;943,601;-22,842840;-46,330420;944,599;-22,849570;-46,336890
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Terceira faixa;944,600;-22,849570;-46,336890;945,100;-22,854060;-46,337420
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Acostamento;945,101;-22,854060;-46,337420;949,900;-22,879610;-46,373340
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Acostamento;0,000;-22,879610;-46,373340;41,199;-23,138870;-46,575770
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Terceira faixa;41,200;-23,138870;-46,575770;48,700;-23,202030;-46,589320
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Acostamento;48,701;-23,202030;-46,589320;50,199;-23,214220;-46,593840
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Terceira faixa;50,200;-23,214220;-46,593840;52,800;-23,235530;-46,601420
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Acostamento;52,801;-23,235530;-46,601420;53,899;-23,245210;-46,595270
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Terceira faixa;53,900;-23,245210;-46,595270;56,300;-23,261030;-46,587880
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Acostamento;56,299;-23,261030;-46,587880;65,699;-23,322940;-46,581400
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Terceira faixa;65,700;-23,322940;-46,581400;89,700;-23,494710;-46,559590
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Acostamento;89,701;-23,494710;-46,559590;90,199;-23,498020;-46,559670
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Terceira faixa;90,200;-23,498020;-46,559670;90,400;-23,499800;-46,559450
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;477,200;-19,957530;-44,029300;491,400;-19,960650;-44,153920
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;491,401;-19,960650;-44,153920;491,699;-19,961790;-44,156520
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;491,700;-19,961790;-44,156520;495,400;-19,974770;-44,187380
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;495,401;-19,974770;-44,187380;495,999;-19,975350;-44,193540
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;496,000;-19,975350;-44,193540;497,800;-19,985870;-44,203020
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;497,801;-19,985870;-44,203020;498,399;-19,990360;-44,205730
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;498,400;-19,990360;-44,205730;498,700;-19,992810;-44,207030
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;498,701;-19,992810;-44,207030;503,899;-20,029660;-44,235470
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;503,900;-20,029660;-44,235470;506,100;-20,038540;-44,253760
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;506,101;-20,038540;-44,253760;520,499;-20,114980;-44,305080
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;520,500;-20,114980;-44,305080;525,200;-20,145290;-44,322320
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;525,201;-20,145290;-44,322320;527,899;-20,166180;-44,331460
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;527,900;-20,166180;-44,331460;528,700;-20,164650;-44,337190
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;528,701;-20,164650;-44,337190;545,799;-20,267070;-44,423130
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;545,800;-20,267070;-44,423130;547,700;-20,282920;-44,429560
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;547,701;-20,282920;-44,429560;555,799;-20,339740;-44,441060
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;555,800;-20,339740;-44,441060;561,400;-20,374540;-44,472390
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;561,401;-20,374540;-44,472390;699,799;-21,280880;-45,139940
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;699,800;-21,280880;-45,139940;701,000;-21,288030;-45,145320
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;701,001;-21,288030;-45,145320;837,299;-22,145930;-45,819370
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;837,300;-22,145930;-45,819370;838,500;-22,154900;-45,824630
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;838,501;-22,154900;-45,824630;849,899;-22,238150;-45,879850
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;849,900;-22,238150;-45,879850;850,100;-22,239620;-45,880800
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;850,101;-22,239620;-45,880800;865,599;-22,360910;-45,929580
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;865,600;-22,360910;-45,929580;866,600;-22,368960;-45,933640
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;866,601;-22,368960;-45,933640;871,599;-22,401920;-45,961660
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;871,600;-22,401920;-45,961660;872,700;-22,409810;-45,957890
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;872,701;-22,409810;-45,957890;908,699;-22,684600;-46,101130
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;908,700;-22,684600;-46,101130;909,700;-22,690290;-46,108070
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;909,701;-22,690290;-46,108070;919,399;-22,756320;-46,155270
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;919,400;-22,756320;-46,155270;923,100;-22,772390;-46,183670
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;923,101;-22,772390;-46,183670;926,499;-22,768510;-46,211620
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;926,500;-22,768510;-46,211620;927,400;-22,766710;-46,220170
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;927,401;-22,766710;-46,220170;934,999;-22,808340;-46,265850
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;935,000;-22,808340;-46,265850;936,200;-22,808500;-46,277800
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;936,201;-22,808500;-46,277800;947,199;-22,866690;-46,350760
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Terceira faixa;947,200;-22,866690;-46,350760;948,200;-22,870980;-46,359220
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Acostamento;948,201;-22,870980;-46,359220;949,900;-22,879770;-46,373190
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Acostamento;0,000;-22,879770;-46,373190;16,990;-22,967580;-46,484870
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Terceira faixa;17,000;-22,967580;-46,484870;19,200;-22,981900;-46,495560
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Acostamento;19,201;-22,981900;-46,495560;21,999;-22,995560;-46,514010
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Terceira faixa;22,000;-22,995560;-46,514010;23,400;-23,005480;-46,520650
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Acostamento;23,401;-23,005480;-46,520650;33,199;-23,073870;-46,565970
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Terceira faixa;33,200;-23,073870;-46,565970;35,300;-23,091460;-46,572650
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Acostamento;35,299;-23,091460;-46,572650;40,999;-23,137090;-46,575820
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Terceira faixa;41,000;-23,137090;-46,575820;48,600;-23,201250;-46,588800
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Acostamento;48,599;-23,201250;-46,588800;58,599;-23,279970;-46,586350
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Terceira faixa;58,600;-23,279970;-46,586350;64,700;-23,314220;-46,582250
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Acostamento;64,701;-23,314220;-46,582250;65,999;-23,324970;-46,579600
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Terceira faixa;66,000;-23,324970;-46,579600;90,400;-23,499770;-46,559230
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Acostamento;84,600;-21,821229;-41,475917;144,600;-22,217258;-41,757623
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Acostamento;144,600;-22,217258;-41,757623;84,600;-21,821229;-41,475917
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Acostamento;190,300;-22,464897;-42,068509;205,090;-22,475530;-42,189486
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Acostamento;205,090;-22,475530;-42,189486;190,300;-22,464897;-42,068509
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Acostamento;208,765;-22,482027;-42,223811;215,065;-22,504579;-42,272353
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Acostamento;215,065;-22,504579;-42,272353;208,765;-22,482027;-42,223811
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Acostamento;217,975;-22,506807;-42,297868;236,180;-22,610833;-42,405891
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Acostamento;236,180;-22,610833;-42,405891;217,975;-22,506807;-42,297868
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Acostamento;236,885;-22,614113;-42,411535;322,100;-22,877778;-43,110591
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Acostamento;322,100;-22,877778;-43,110591;236,885;-22,614113;-42,411535
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Faixa de segurança;84,600;-21,821229;-41,475917;144,600;-22,217258;-41,757623
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Faixa de segurança;144,600;-22,217258;-41,757623;84,600;-21,821229;-41,475917
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Faixa de segurança;190,300;-22,464897;-42,068509;205,090;-22,475530;-42,189486
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Faixa de segurança;205,090;-22,475530;-42,189486;190,300;-22,464897;-42,068509
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Faixa de segurança;208,765;-22,482027;-42,223811;215,065;-22,504579;-42,272353
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Faixa de segurança;215,065;-22,504579;-42,272353;208,765;-22,482027;-42,223811
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Faixa de segurança;217,975;-22,506807;-42,297868;236,180;-22,610833;-42,405891
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Faixa de segurança;236,180;-22,610833;-42,405891;217,975;-22,506807;-42,297868
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Faixa de segurança;236,885;-22,614113;-42,411535;322,100;-22,877778;-43,110591
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Faixa de segurança;322,100;-22,877778;-43,110591;236,885;-22,614113;-42,411535
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Acostamento;663,100;-25,852720;-48,966720;660,000;-25,855300;-48,995040
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Acostamento;658,700;-25,846950;-49,005400;656,200;-25,839790;-49,025940
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Acostamento;653,600;-25,841250;-49,048270;644,000;-25,820670;-49,128170
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Acostamento;642,700;-25,810020;-49,133570;642,000;-25,804050;-49,134950
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Acostamento;640,900;-25,795580;-49,129410;617,500;-25,594610;-49,173020
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Acostamento;616,500;-25,586470;-49,173330;614,400;-25,568820;-49,181751
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Acostamento;614,400;-25,568866;-49,181930;615,300;-25,578060;-49,178730
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Acostamento;616,700;-25,587620;-49,172620;618,200;-25,600550;-49,173490
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Acostamento;620,500;-25,620230;-49,168020;642,600;-25,809140;-49,134160
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Acostamento;643,400;-25,815620;-49,130880;650,760;-25,844840;-49,073920
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Acostamento;651,900;-25,846270;-49,062240;652,900;-25,843260;-49,054600
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Acostamento;654,100;-25,841530;-49,043470;682,123;-25,981056;-48,886721
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Acostamento;115,000;-25,544580;-49,302350;106,100;-25,570040;-49,219370
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Acostamento;103,600;-25,571200;-49,194730;100,800;-25,566290;-49,167330
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Acostamento;99,500;-25,563520;-49,154830;94,800;-25,526230;-49,139600
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Acostamento;92,900;-25,512420;-49,128570;91,500;-25,501740;-49,120740
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Acostamento;90,300;-25,492640;-49,114080;84,100;-25,445290;-49,091850
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Acostamento;82,000;-25,430050;-49,082770;71,100;-25,344049;-49,043156
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente;Acostamento;71,100;-25,344021;-49,043320;95,000;-25,527620;-49,140850
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente;Acostamento;98,100;-25,552280;-49,150040;115,200;-25,544032;-49,304237
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente;Terceira faixa;95,100;-25,528097;-49,141430;95,799;-25,532985;-49,145823
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Terceira faixa;105,900;-25,570290;-49,217400;104,601;-25,571929;-49,204577
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Terceira faixa;615,000;-25,573895;-49,180077;614,400;-25,568820;-49,181751
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Terceira faixa;617,500;-25,594608;-49,173019;616,301;-25,585252;-49,174796
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Terceira faixa;643,800;-25,819052;-49,129013;640,801;-25,794835;-49,128844
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Terceira faixa;656,200;-25,839794;-49,025944;653,501;-25,841823;-49,049041
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Terceira faixa;659,900;-25,849415;-48,995800;658,701;-25,846951;-49,005397
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Terceira faixa;673,200;-25,908834;-48,920258;663,101;-25,852715;-48,966720
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Terceira faixa;615,400;-25,577198;-49,179028;616,499;-25,586184;-49,173804
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Terceira faixa;618,000;-25,598763;-49,173733;620,599;-25,621076;-49,167647
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Terceira faixa;642,000;-25,803875;-49,135033;643,399;-25,815618;-49,130881
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Terceira faixa;650,800;-25,845072;-49,072968;651,999;-25,845662;-49,061652
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Terceira faixa;652,900;-25,843256;-49,054604;654,299;-25,841527;-49,041465
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Terceira faixa;664,000;-25,854509;-48,958473;672,799;-25,905255;-48,921836
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Terceira faixa;45,000;-26,348747;-48,857349;45,499;-26,353124;-48,858558
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Terceira faixa;45,700;-26,355110;-48,858807;45,001;-26,348954;-48,857322
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Terceira faixa;49,500;-26,385546;-48,847572;48,801;-26,381303;-48,851645
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Terceira faixa;138,300;-27,026274;-48,606422;142,299;-27,057877;-48,597693
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Terceira faixa;145,000;-27,081209;-48,601147;145,799;-27,085538;-48,607539
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Terceira faixa;145,800;-27,085815;-48,607899;144,901;-27,080684;-48,600726
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Terceira faixa;203,400;-27,568483;-48,613976;215,399;-27,654822;-48,678145
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Terceira faixa;221,800;-27,708361;-48,656300;222,699;-27,714150;-48,649772
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Terceira faixa;223,300;-27,719086;-48,646511;222,401;-27,712590;-48,650752
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Terceira faixa;230,000;-27,776564;-48,634697;231,399;-27,788436;-48,636516
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Faixa de segurança;0,000;-25,981624;-48,886367;244,680;-27,902641;-48,649209
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Faixa de segurança;244,680;-27,902648;-48,648972;0,000;-25,981624;-48,886367
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Faixa de segurança;614,400;-25,568866;-49,181930;682,123;-25,981056;-48,886721
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Faixa de segurança;682,123;-25,981117;-48,886805;614,400;-25,568820;-49,181751
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente;Faixa de segurança;71,100;-25,344021;-49,043320;115,200;-25,544032;-49,304237
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Faixa de segurança;115,200;-25,544180;-49,304298;71,100;-25,344049;-49,043156
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Acostamento;0,000;-25,981624;-48,886367;244,680;-27,902641;-48,649209
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Acostamento;244,680;-27,902648;-48,648972;0,000;-25,981624;-48,886367
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Acostamento;682,123;-25,981117;-48,886805;673,400;-25,910600;-48,919950
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;115,000;-25,541946;-49,302869;115,690;-25,548036;-49,304284
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Acostamento;115,000;-25,541979;-49,302651;132,086;-25,693213;-49,317569
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;116,500;-25,557188;-49,306393;117,000;-25,559508;-49,307267
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;117,774;-25,566185;-49,309469;125,000;-25,629536;-49,313844
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;129,000;-25,665426;-49,314073;133,490;-25,705526;-49,320123
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Terceira faixa;132,100;-25,693375;-49,317752;132,800;-25,699560;-49,319025
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Acostamento;132,720;-25,698804;-49,318728;140,126;-25,764242;-49,321055
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Terceira faixa;133,500;-25,705490;-49,320238;133,900;-25,709050;-49,320630
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;133,900;-25,709211;-49,320686;134,000;-25,710326;-49,320369
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;134,880;-25,717669;-49,318093;140,680;-25,769073;-49,322290
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Terceira faixa;140,100;-25,763912;-49,321133;141,800;-25,778973;-49,324733
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Acostamento;141,200;-25,773657;-49,323426;142,260;-25,783196;-49,325673
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;142,580;-25,785985;-49,326385;143,483;-25,793913;-49,328288
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Acostamento;142,666;-25,786773;-49,326474;143,035;-25,790032;-49,327305
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Terceira faixa;143,100;-25,790327;-49,327397;144,000;-25,798303;-49,329288
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Terceira faixa;143,500;-25,793848;-49,328231;144,000;-25,798304;-49,329287
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Acostamento;143,724;-25,796091;-49,326688;144,950;-25,806610;-49,327116
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Acostamento;143,968;-25,798219;-49,329272;145,630;-25,812170;-49,328121
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Crescente;Terceira faixa;145,100;-25,807888;-49,326564;145,400;-25,810499;-49,326758
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Terceira faixa;145,100;-25,807888;-49,326564;145,400;-25,810499;-49,326758
AUTOPISTA PLANALTO SUL;2017;BR-116/PR;Principal;Decrescente;Acostamento;145,420;-25,810681;-49,326834;148,220;-25,833221;-49,336811
