concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_pavimento;km_m_inicial;latitude_inicial;longitude_inicial;km_m_final;latitude_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Pavimento Flexível;477,200;-19,957645;-44,029699;478,199;-19,961207;-44,037393
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Crescente;Pavimento Flexível;478,200;-19,961207;-44,037393;949,900;-22,879386;-46,372872
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Pavimento Flexível;0,000;-22,879691;-46,373253;71,470;-23,355686;-46,548919
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Pavimento Rígido;71,471;-23,355686;-46,548919;71,732;-23,357931;-46,549451
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Crescente;Pavimento Flexível;71,733;-23,357931;-46,549451;90,400;-23,499777;-46,559350
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Pavimento Flexível;0,000;-19,959249;-44,153744;7,400;-19,993329;-44,207884
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Pavimento Flexível;477,200;-19,957645;-44,029699;478,199;-19,961207;-44,037393
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Principal;Decrescente;Pavimento Flexível;478,200;-19,961207;-44,037393;949,900;-22,879386;-46,372872
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Pavimento Flexível;0,000;-22,879691;-46,373253;71,470;-23,355686;-46,548919
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Pavimento Rígido;71,471;-23,355686;-46,548919;71,732;-23,357931;-46,549451
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Principal;Decrescente;Pavimento Flexível;71,733;-23,357931;-46,549451;90,400;-23,499777;-46,559350
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Decrescente;Pavimento Flexível;0,000;-19,959249;-44,153744;7,400;-19,993329;-44,207884
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Flexível;0,000;-21,221874;-41,083690;40,475;-21,552567;-41,332044
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Rígido;40,476;-21,552567;-41,332044;40,535;-21,529470;-41,331667
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Flexível;40,536;-21,529470;-41,331667;123,045;-22,049209;-41,685037
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Rígido;123,046;-22,049209;-41,685037;123,100;-22,049533;-41,684610
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Flexível;123,101;-22,049533;-41,684610;192,850;-22,475717;-42,088630
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Rígido;192,851;-22,475717;-42,088630;192,910;-22,476098;-42,089047
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Flexível;192,911;-22,476098;-42,089047;252,755;-22,686728;-42,539993
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Rígido;252,756;-22,686728;-42,539993;252,815;-22,687094;-42,540429
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Flexível;252,816;-22,687094;-42,540429;299,660;-22,775245;-42,945238
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Rígido;299,661;-22,775245;-42,945238;299,710;-22,775323;-42,945700
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Crescente;Pavimento Flexível;299,711;-22,775323;-42,945700;322,100;-22,877785;-43,110592
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Crescente;Pavimento Flexível;264,635;-22,715662;-42,641529;265,345;-22,711105;-42,646443
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Pavimento Flexível;265,415;-22,710827;-42,647130;264,570;-22,716240;-42,641219
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Crescente;Pavimento Flexível;273,585;-22,733601;-42,716113;274,900;-22,736205;-42,728324
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Pavimento Flexível;274,060;-22,736239;-42,727057;273,500;-22,733457;-42,715195
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Crescente;Pavimento Flexível;293,045;-22,754607;-42,890508;297,450;-22,770648;-42,922037
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Pavimento Flexível;296,130;-22,767204;-42,913047;295,000;-22,763867;-42,902467
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Pavimento Flexível;313,855;-22,814868;-43,075367;312,825;-22,808951;-43,067276
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Marginal;Decrescente;Pavimento Flexível;320,270;-22,859919;-43,106355;318,665;-22,849530;-43,099771
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Flexível;0,000;-21,221874;-41,083690;40,475;-21,552567;-41,332044
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Rígido;40,476;-21,552567;-41,332044;40,535;-21,529470;-41,331667
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Flexível;40,536;-21,529470;-41,331667;123,045;-22,049209;-41,685037
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Rígido;123,046;-22,049209;-41,685037;123,100;-22,049533;-41,684610
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Flexível;123,101;-22,049533;-41,684610;192,850;-22,475717;-42,088630
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Rígido;192,851;-22,475717;-42,088630;192,910;-22,476098;-42,089047
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Flexível;192,911;-22,476098;-42,089047;252,755;-22,686728;-42,539993
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Rígido;252,756;-22,686728;-42,539993;252,815;-22,687094;-42,540429
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Flexível;252,816;-22,687094;-42,540429;299,660;-22,775245;-42,945238
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Rígido;299,661;-22,775245;-42,945238;299,710;-22,775323;-42,945700
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Principal;Decrescente;Pavimento Flexível;299,711;-22,775323;-42,945700;322,100;-22,877785;-43,110592
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Flexível;0,000;-25,981624;-48,886367;1,299;-25,991879;-48,881862
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Rígido;1,300;-25,991880;-48,881863;1,349;-25,992236;-48,881632
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Flexível;1,350;-25,992235;-48,881631;79,339;-26,591321;-48,722205
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Rígido;79,340;-26,591320;-48,722204;79,389;-26,592017;-48,722298
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Flexível;79,390;-26,592016;-48,722297;157,449;-27,184793;-48,612603
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Rígido;157,450;-27,184814;-48,612602;157,499;-27,185252;-48,612640
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Flexível;157,500;-27,185273;-48,612639;242,849;-27,884876;-48,647826
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Rígido;242,850;-27,884877;-48,647827;242,899;-27,885338;-48,647888
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Crescente;Pavimento Flexível;242,900;-27,885339;-48,647889;244,680;-27,902641;-48,649209
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Flexível;244,680;-27,902648;-48,648972;242,851;-27,885387;-48,647499
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Rígido;242,851;-27,885388;-48,647500;242,799;-27,884926;-48,647457
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Flexível;242,800;-27,884925;-48,647456;157,501;-27,185274;-48,612163
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Rígido;157,500;-27,185273;-48,612162;157,451;-27,184815;-48,612181
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Flexível;157,450;-27,184814;-48,612180;79,401;-26,592027;-48,721937
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Rígido;79,400;-26,592026;-48,721936;79,341;-26,591377;-48,721813
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Flexível;79,340;-26,591376;-48,721812;1,351;-25,991943;-48,881041
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Rígido;1,350;-25,991942;-48,881040;1,301;-25,991594;-48,881281
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Principal;Decrescente;Pavimento Flexível;1,300;-25,991593;-48,881280;0,000;-25,981624;-48,886367
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Crescente;Pavimento Flexível;71,100;-25,344021;-49,043320;115,200;-25,544032;-49,304237
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Principal;Decrescente;Pavimento Flexível;115,200;-25,544180;-49,304298;71,100;-25,344049;-49,043156
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Pavimento Flexível;614,400;-25,568866;-49,181930;635,179;-25,747419;-49,130107
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Pavimento Rígido;635,180;-25,747420;-49,130108;635,229;-25,747979;-49,129945
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Crescente;Pavimento Flexível;635,230;-25,747978;-49,129944;682,123;-25,981056;-48,886721
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Pavimento Flexível;682,123;-25,981117;-48,886805;635,231;-25,747827;-49,129248
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Pavimento Rígido;635,230;-25,747826;-49,129247;635,181;-25,747275;-49,129446
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Principal;Decrescente;Pavimento Flexível;635,180;-25,747274;-49,129445;614,400;-25,568820;-49,181751
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;0,900;-25,988864;-48,883674;1,900;-25,996493;-48,879107
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;19,400;-26,136346;-48,899366;20,200;-26,142571;-48,904829
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;22,450;-26,161051;-48,907537;23,410;-26,169438;-48,907350
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;24,150;-26,176108;-48,908068;25,700;-26,189610;-48,911871
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;26,800;-26,199676;-48,912914;27,500;-26,205811;-48,914586
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;29,900;-26,227082;-48,916660;30,700;-26,234600;-48,916163
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;35,300;-26,270358;-48,895147;37,200;-26,286042;-48,887525
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;37,700;-26,290073;-48,885377;42,400;-26,327498;-48,864669
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;42,480;-26,327290;-48,864499;43,040;-26,331669;-48,862028
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;43,410;-26,331671;-48,862017;45,029;-26,348971;-48,857650
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;45,030;-26,349006;-48,857667;45,630;-26,354410;-48,858851
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;46,830;-26,364982;-48,858793;48,569;-26,378962;-48,851741
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;56,300;-26,434972;-48,816243;57,150;-26,437233;-48,808575
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;59,400;-26,448193;-48,790112;59,700;-26,449409;-48,787577
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;61,700;-26,454986;-48,769523;62,500;-26,457299;-48,761353
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;63,400;-26,462181;-48,754767;66,600;-26,483972;-48,735131
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;70,300;-26,514547;-48,721239;71,550;-26,524957;-48,716060
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;73,400;-26,546430;-48,712853;74,600;-26,551196;-48,715951
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;74,900;-26,552749;-48,717990;75,300;-26,555882;-48,720623
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;76,100;-26,567459;-48,720085;77,100;-26,571774;-48,722265
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;82,300;-26,616227;-48,719512;83,000;-26,621941;-48,716572
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;83,010;-26,621900;-48,716487;83,999;-26,626915;-48,710234
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;84,000;-26,626916;-48,710235;84,800;-26,631702;-48,703859
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;84,801;-26,631747;-48,703841;92,600;-26,692378;-48,697601
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;94,900;-26,712688;-48,703059;95,500;-26,717855;-48,702365
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;99,800;-26,755565;-48,689558;101,079;-26,766611;-48,686504
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;101,080;-26,766647;-48,686503;102,980;-26,783283;-48,683141
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;104,300;-26,795544;-48,680122;104,900;-26,801285;-48,678916
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;111,950;-26,845227;-48,720629;119,050;-26,905578;-48,715015
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;122,800;-26,935402;-48,700039;123,400;-26,939497;-48,695983
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;123,600;-26,940630;-48,694818;125,640;-26,952313;-48,679934
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;125,641;-26,952363;-48,679912;126,000;-26,955596;-48,679812
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;129,300;-26,981970;-48,676491;131,999;-26,996582;-48,656117
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;132,000;-26,996864;-48,655122;135,500;-27,006425;-48,622051
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;135,650;-27,007049;-48,620097;138,630;-27,029375;-48,605319
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;142,500;-27,059464;-48,596876;143,440;-27,068208;-48,595678
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;145,750;-27,085331;-48,607307;150,600;-27,123065;-48,609601
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Rígido;150,601;-27,123112;-48,609596;151,300;-27,129301;-48,609881
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;151,400;-27,130386;-48,609926;151,900;-27,134702;-48,610041
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;161,300;-27,217331;-48,624760;164,100;-27,241830;-48,630944
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;164,300;-27,244254;-48,631009;164,900;-27,249328;-48,631229
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;169,400;-27,290248;-48,630895;169,800;-27,293802;-48,631170
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;170,800;-27,303498;-48,632380;171,700;-27,311333;-48,632915
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;172,800;-27,319587;-48,628523;173,000;-27,322190;-48,627626
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;179,300;-27,376108;-48,631867;182,300;-27,400771;-48,629925
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;182,301;-27,400787;-48,629917;182,500;-27,403121;-48,629365
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;185,900;-27,433507;-48,625186;186,710;-27,440171;-48,627174
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;188,140;-27,452353;-48,634472;188,590;-27,455802;-48,636754
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;192,170;-27,485864;-48,648464;192,269;-27,486840;-48,650098
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;192,270;-27,486482;-48,649191;192,469;-27,487178;-48,651033
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;192,470;-27,487179;-48,651034;205,300;-27,585071;-48,618059
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;205,301;-27,585209;-48,618104;218,400;-27,680306;-48,669000
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;219,200;-27,686969;-48,666105;220,700;-27,699872;-48,660672
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;221,100;-27,703038;-48,659267;221,800;-27,708388;-48,656353
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;222,900;-27,715779;-48,648837;223,350;-27,719790;-48,646426
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;223,351;-27,719838;-48,646409;223,500;-27,720950;-48,645597
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;223,501;-27,720989;-48,645559;223,700;-27,722785;-48,644404
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;227,220;-27,752568;-48,633975;229,220;-27,769418;-48,632966
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;237,800;-27,842373;-48,634764;238,600;-27,848858;-48,638205
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Crescente;Pavimento Flexível;243,300;-27,889640;-48,648227;243,700;-27,893269;-48,648515
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;238,790;-27,850235;-48,639195;237,190;-27,837625;-48,632045
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;229,300;-27,770527;-48,633080;227,100;-27,751330;-48,634365
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;223,600;-27,721403;-48,644944;222,800;-27,715643;-48,648615
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;222,000;-27,709622;-48,654402;221,000;-27,702163;-48,659272
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;220,730;-27,699783;-48,660381;220,230;-27,695757;-48,661851
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;218,400;-27,680178;-48,668599;217,901;-27,676126;-48,670160
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;217,900;-27,676127;-48,670161;208,401;-27,606146;-48,634642
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;208,400;-27,606147;-48,634643;208,301;-27,605547;-48,634087
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;208,300;-27,605548;-48,634088;193,200;-27,490583;-48,656156
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;192,570;-27,487870;-48,652038;192,140;-27,485593;-48,648040
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;188,970;-27,459188;-48,638600;188,371;-27,454622;-48,635605
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;188,370;-27,454623;-48,635606;187,740;-27,449413;-48,632224
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;184,900;-27,424099;-48,624711;184,400;-27,419900;-48,625543
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;182,600;-27,403401;-48,629057;181,200;-27,391741;-48,631473
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;180,600;-27,386340;-48,631556;179,300;-27,376097;-48,631690
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;170,800;-27,303490;-48,632165;170,300;-27,298096;-48,631475
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;166,000;-27,259512;-48,631511;165,100;-27,251309;-48,630996
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;165,099;-27,251295;-48,630996;163,630;-27,238046;-48,630051
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;163,600;-27,237810;-48,630064;160,801;-27,214186;-48,622727
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;159,500;-27,203036;-48,616777;158,800;-27,197063;-48,613582
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;156,600;-27,177374;-48,611774;150,101;-27,118045;-48,609080
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;148,900;-27,108257;-48,613165;146,401;-27,088585;-48,612176
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;146,400;-27,088579;-48,612160;145,750;-27,085727;-48,607731
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;143,140;-27,065278;-48,595459;142,441;-27,057280;-48,598014
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;138,880;-27,031637;-48,604942;137,181;-27,016203;-48,611454
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;136,620;-27,011972;-48,613673;135,901;-27,007312;-48,618478
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;135,450;-27,006085;-48,622233;130,950;-26,990258;-48,663218
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;126,000;-26,955603;-48,679631;125,400;-26,950438;-48,680191
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;124,700;-26,946701;-48,685509;123,900;-26,942707;-48,692486
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;123,500;-26,939703;-48,695518;122,650;-26,934228;-48,700964
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;122,000;-26,930651;-48,704232;119,000;-26,904373;-48,715495
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;118,200;-26,897602;-48,718143;111,910;-26,845750;-48,720532
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;110,340;-26,835479;-48,709252;108,310;-26,828453;-48,691989
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;104,900;-26,801311;-48,678745;104,200;-26,795037;-48,680082
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;102,660;-26,781106;-48,683886;101,180;-26,767738;-48,686019
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;101,179;-26,767723;-48,686013;99,900;-26,755721;-48,689306
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;95,700;-26,720004;-48,702177;95,010;-26,713932;-48,702596
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;92,300;-26,689847;-48,696468;87,300;-26,644528;-48,687947
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;86,800;-26,641152;-48,690852;85,400;-26,634281;-48,700015
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;84,700;-26,630720;-48,704795;84,000;-26,626954;-48,709784
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;83,200;-26,623004;-48,715021;82,600;-26,618669;-48,718117
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;78,000;-26,579799;-48,722296;77,600;-26,575639;-48,722647
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;74,701;-26,551864;-48,716587;74,000;-26,546461;-48,712648
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Marginal;Decrescente;Pavimento Flexível;71,550;-26,524912;-48,715880;69,900;-26,511521;-48,722842
