concessionaria,ano_do_pnv_snv,rodovia,km_m,sentido,latitude,longitude
ECO101,2020,BR-101/BA,940.334,Crescente,-18.049589,-39.869605
ECO101,2020,BR-101/BA,940.334,Decrescente,-18.049589,-39.869605
ECO101,2020,BR-101/BA,940.354,Crescente,-18.049762,-39.869708
ECO101,2020,BR-101/BA,940.354,Decrescente,-18.049762,-39.869708
ECO101,2020,BR-101/BA,940.374,Crescente,-18.049912,-39.869796
ECO101,2020,BR-101/BA,940.374,Decrescente,-18.049912,-39.869796
ECO101,2020,BR-101/BA,940.394,Crescente,-18.05007,-39.869888
ECO101,2020,BR-101/BA,940.394,Decrescente,-18.05007,-39.869888
ECO101,2020,BR-101/BA,940.414,Crescente,-18.050228,-39.86998
ECO101,2020,BR-101/BA,940.414,Decrescente,-18.050228,-39.86998
ECO101,2020,BR-101/BA,940.434,Crescente,-18.050387,-39.87007
ECO101,2020,BR-101/BA,940.434,Decrescente,-18.050387,-39.87007
ECO101,2020,BR-101/BA,940.454,Crescente,-18.050546,-39.87016
ECO101,2020,BR-101/BA,940.454,Decrescente,-18.050546,-39.87016
ECO101,2020,BR-101/BA,940.474,Crescente,-18.050704,-39.870253
ECO101,2020,BR-101/BA,940.474,Decrescente,-18.050704,-39.870253
ECO101,2020,BR-101/BA,940.494,Crescente,-18.050862,-39.870345
ECO101,2020,BR-101/BA,940.494,Decrescente,-18.050862,-39.870345
ECO101,2020,BR-101/BA,940.514,Crescente,-18.05102,-39.870437
ECO101,2020,BR-101/BA,940.514,Decrescente,-18.05102,-39.870437
ECO101,2020,BR-101/BA,940.534,Crescente,-18.051178,-39.870528
ECO101,2020,BR-101/BA,940.534,Decrescente,-18.051178,-39.870528
ECO101,2020,BR-101/BA,940.554,Crescente,-18.051336,-39.87062
ECO101,2020,BR-101/BA,940.554,Decrescente,-18.051336,-39.87062
ECO101,2020,BR-101/BA,940.574,Crescente,-18.051495,-39.870711
ECO101,2020,BR-101/BA,940.574,Decrescente,-18.051495,-39.870711
ECO101,2020,BR-101/BA,940.594,Crescente,-18.051657,-39.870805
ECO101,2020,BR-101/BA,940.594,Decrescente,-18.051657,-39.870805
ECO101,2020,BR-101/BA,940.614,Crescente,-18.051811,-39.870896
ECO101,2020,BR-101/BA,940.614,Decrescente,-18.051811,-39.870896
ECO101,2020,BR-101/BA,940.634,Crescente,-18.051968,-39.870989
ECO101,2020,BR-101/BA,940.634,Decrescente,-18.051968,-39.870989
ECO101,2020,BR-101/BA,940.654,Crescente,-18.052126,-39.871081
