concessionaria;tipo_de_edificacao;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;498,495;Betim;Principal;Crescente/Decrescente;Ativo;-19,994592;-44,208112
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;530,040;Rio Manso;Principal;Crescente;Ativo;-20,161796;-44,348804
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;574,561;Itaguara;Principal;Crescente;Ativo;-20,444279;-44,565246
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;616,967;Oliveira;Principal;Decrescente;Ativo;-20,729401;-44,772554
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;650,184;Santo Antônio do Amparo;Principal;Decrescente;Ativo;-20,955565;-44,913237
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;698,020;Lavras;Principal;Decrescente;Ativo;-21,266335;-45,137419
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;752,000;Três Corações;Principal;Crescente;Ativo;-21,654901;-45,301640
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;804,196;São Gonçalo do Sapucaí;Principal;Crescente/Decrescente;Ativo;-21,962789;-45,627252
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;871,357;Pouso Alegre;Principal;Crescente/Decrescente;Ativo;-22,399635;-45,961312
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;MG;918,713;Camanducaia;Principal;Crescente;Ativo;-22,754381;-46,148678
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;SP;22,343;Bragança Paulista;Principal;Decrescente;Ativo;-22,996035;-46,514333
AUTOPISTA FERNÃO DIAS;Base operacional;2007;BR-381;SP;71,861;São Paulo;Principal;Crescente/Decrescente;Ativo;-23,359274;-46,550167
AUTOPISTA FERNÃO DIAS;Posto de Fiscalização da ANTT;2007;BR-381;MG;851,077;Pouso Alegre;Principal;Crescente;Ativo;-22,247165;-45,885402
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;40,560;Campos dos Goytacazes;Principal;Decrescente;Ativo;-21,552853;-41,331178
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;123,000;Campos dos Goytacazes;Principal;Crescente;Ativo;-22,049361;-41,685611
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;162,300;Macaé;Principal;Decrescente;Ativo;-22,304411;-41,884535
AUTOPISTA FLUMINENSE;Posto de Fiscalização da ANTT;2019;BR-101;RJ;192,950;Casimiro de Abreu;Principal;Decrescente;Ativo;-22,476542;-42,088961
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;235,970;Silva Jardim;Principal;Crescente;Ativo;-22,610024;-42,404409
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;283,300;Itaboraí;Principal;Decrescente;Ativo;-22,738898;-42,806988
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;299,570;São Gonçalo;Principal;Crescente;Ativo;-22,774528;-42,944889
AUTOPISTA FLUMINENSE;Base operacional;2019;BR-101;RJ;318,340;São Gonçalo;Principal;Decrescente;Ativo;-22,846887;-43,099038
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;0,000;Garuva;Principal;Crescente/Decrescente;Ativo;-26,262763;-48,850520
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;1,350;Garuva;Principal;Crescente;Ativo;-25,991494;-48,882368
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;46,800;Joinville;Principal;Decrescente;Ativo;-26,365274;-48,858387
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;79,300;Araquari;Principal;Crescente;Ativo;-26,591211;-48,722545
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;129,850;Balneário Camboriú;Principal;Decrescente;Ativo;-26,983308;-48,670968
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;141,000;Balneário Camboriú;Principal;Decrescente;Ativo;-27,047217;-48,598246
AUTOPISTA LITORAL SUL;Posto de Fiscalização da ANTT;2009;BR-101;SC;151,210;Itapema;Principal;Crescente;Ativo;-27,128378;-48,610033
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;157,400;Porto Belo;Principal;Crescente;Ativo;-27,184070;-48,612561
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;192,400;Biguaçu;Marginal;Decrescente;Ativo;-27,487608;-48,649917
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;205,350;São José;Principal;Crescente;Ativo;-27,585865;-48,616681
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-101;SC;243,050;Palhoça;Principal;Decrescente;Ativo;-27,885331;-48,647046
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-116;PR;90,200;Piraquara;Principal;Crescente;Ativo;-25,492290;-49,113555
AUTOPISTA LITORAL SUL;Posto de Fiscalização da ANTT;2009;BR-116;PR;90,300;Piraquara;Principal;Crescente;Ativo;-25,492706;-49,114525
AUTOPISTA LITORAL SUL;Base operacional;2009;BR-376;PR;635,100;São José dos Pinhais;Principal;Decrescente;Ativo;-25,749696;-49,127868
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;PR;134,400;Fazenda Rio Grande;Principal;Crescente;Ativo;-25,713110;-49,318340
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;PR;204,100;Rio Negro;Principal;Crescente;Ativo;-26,071450;-49,741300
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;SC;42,200;Itaiópolis;Principal;Crescente;Ativo;-26,337590;-50,073400
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;SC;81,600;Monte Castelo;Principal;Crescente;Ativo;-26,570390;-50,221540
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;SC;120,700;Santa Cecília;Principal;Crescente;Ativo;-26,828860;-50,381340
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;SC;152,000;Santa Cecília;Principal;Crescente;Ativo;-27,046400;-50,425910
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;SC;194,900;Ponte Alta;Principal;Decrescente;Ativo;-27,386340;-50,428980
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;SC;233,160;Correia Pinto;Principal;Crescente;Ativo;-27,698460;-50,335430
AUTOPISTA PLANALTO SUL;Base operacional;2017;BR-116;SC;276,900;Capão Alto;Principal;Decrescente;Ativo;-28,014550;-50,550150
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;287,000;Itapecerica da Serra;Principal;Crescente;Ativo;-23,700335;-46,868481
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;298,600;Itapecerica da Serra;Principal;Crescente;Ativo;-23,786720;-46,913015
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;343,260;Miracatu;Principal;Decrescente;Ativo;-24,026787;-47,173740
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;356,500;Miracatu;Principal;Crescente;Ativo;-24,095445;-47,256375
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;370,820;Miracatu;Principal;Decrescente;Ativo;-24,158599;-47,326519
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;426,800;Juquiá;Principal;Crescente;Ativo;-24,388672;-47,722017
AUTOPISTA REGIS BITTENCOURT;Posto de Fiscalização da ANTT;2017;BR-116;SP;446,080;Registro;Marginal;Crescente;Ativo;-24,505102;-47,848017
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;485,840;Cajati;Principal;Decrescente;Ativo;-24,722292;-48,083446
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;SP;543,060;Barra do Turvo;Principal;Crescente;Ativo;-24,963133;-48,412025
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;PR;56,840;Campina Grande do Sul;Principal;Crescente;Ativo;-25,288807;-48,933028
AUTOPISTA REGIS BITTENCOURT;Base operacional;2017;BR-116;PR;70,000;Campina Grande do Sul;Principal;Crescente;Ativo;-25,336830;-49,036279
CONCEBRA;Base operacional;2017;BR-60;DF;22,819;Brasília;Principal;Decrescente;Ativo;-15,987901;-48,222301
CONCEBRA;Base operacional;2017;BR-60;GO;44,356;Alexânia;Principal;Crescente;Ativo;-16,125901;-48,594201
CONCEBRA;Base operacional;2017;BR-60;GO;89,681;Anápolis;Principal;Decrescente;Ativo;-16,343201;-48,902201
CONCEBRA;Base operacional;2017;BR-60;GO;138,131;Goiânia;Principal;Decrescente;Ativo;-16,614001;-49,205601
CONCEBRA;Base operacional;2017;BR-153;GO;531,243;Hidrolândia;Marginal;Crescente;Ativo;-16,968701;-49,233001
CONCEBRA;Base operacional;2017;BR-153;GO;584,365;Professor Jamil;Principal;Decrescente;Ativo;-17,410401;-49,224901
CONCEBRA;Base operacional;2017;BR-153;GO;636,899;Morrinhos;Principal;Crescente;Ativo;-17,844501;-49,219101
CONCEBRA;Base operacional;2017;BR-153;GO;688,578;Itumbiara;Principal;Crescente/Decrescente;Ativo;-18,288701;-49,239401
CONCEBRA;Base operacional;2017;BR-153;MG;33,936;Centralina;Principal;Crescente;Ativo;-18,709501;-49,138901
CONCEBRA;Base operacional;2017;BR-153;MG;80,975;Prata;Principal;Decrescente;Ativo;-19,074701;-49,001101
CONCEBRA;Base operacional;2017;BR-153;MG;131,708;Prata;Principal;Crescente;Ativo;-19,496301;-48,853901
CONCEBRA;Base operacional;2017;BR-153;MG;175,382;Comendador Gomes;Principal;Decrescente;Ativo;-19,756601;-48,967601
CONCEBRA;Base operacional;2017;BR-153;MG;223,316;Fronteira;Principal;Crescente;Ativo;-20,124301;-49,105001
CONCEBRA;Base operacional;2017;BR-262;MG;376,955;Juatuba;Principal;Crescente;Ativo;-19,930301;-44,407801
CONCEBRA;Base operacional;2017;BR-262;MG;425,304;São Gonçalo do Pará;Principal;Decrescente;Ativo;-19,890401;-44,821701
CONCEBRA;Base operacional;2017;BR-262;MG;477,619;Bom Despacho;Principal;Crescente;Ativo;-19,786801;-45,244601
CONCEBRA;Base operacional;2017;BR-262;MG;527,952;Luz;Principal;Decrescente;Ativo;-19,781101;-45,731501
CONCEBRA;Base operacional;2017;BR-262;MG;579,201;Córrego Danta;Principal;Crescente;Ativo;-19,657301;-46,068401
CONCEBRA;Base operacional;2017;BR-262;MG;631,579;Ibiá;Principal;Decrescente;Ativo;-19,592401;-46,491801
CONCEBRA;Base operacional;2017;BR-262;MG;677,501;Araxá;Principal;Crescente;Ativo;-19,553701;-46,880001
CONCEBRA;Base operacional;2017;BR-262;MG;739,251;Perdizes;Principal;Decrescente;Ativo;-19,615501;-47,370401
CONCEBRA;Base operacional;2017;BR-262;MG;783,398;Uberaba;Principal;Crescente;Ativo;-19,732501;-47,744801
CONCEBRA;Base operacional;2017;BR-262;MG;828,739;Uberaba;Principal;Decrescente;Ativo;-19,759601;-48,148701
CONCEBRA;Base operacional;2017;BR-262;MG;878,609;Campo Florido;Principal;Decrescente;Ativo;-19,760901;-48,593801
CRO;Base operacional;2016;BR-163;MT;23,500;Itiquira;Principal;Decrescente;Ativo;-17,310012;-54,762395
CRO;Base operacional;2016;BR-163;MT;73,000;Rondonópolis;Principal;Decrescente;Ativo;-16,872369;-54,712081
CRO;Base operacional;2016;BR-163;MT;117,100;Rondonópolis;Principal;Decrescente;Ativo;-16,511673;-54,654605
CRO;Base operacional;2016;BR-364;MT;244,000;Juscimeira;Principal;Decrescente;Ativo;-16,165383;-54,793980
CRO;Base operacional;2016;BR-364;MT;260,800;Juscimeira;Principal;Crescente;Ativo;-15,905423;-55,077977
CRO;Base operacional;2016;BR-364;MT;338,600;Campo Verde;Principal;Decrescente;Ativo;-15,831519;-55,502342
CRO;Base operacional;2016;BR-364;MT;386,800;Cuiabá;Principal;Crescente;Ativo;-15,701298;-55,863576
CRO;Base operacional;2016;BR-364;MT;435,700;Várzea Grande;Principal;Decrescente;Ativo;-15,641299;-56,202348
CRO;Base operacional;2016;BR-364;MT;487,900;Jangada;Principal;Crescente;Ativo;-15,276545;-56,442651
CRO;Base operacional;2016;BR-364;MT;541,800;Rosário Oeste;Principal;Crescente;Ativo;-14,842867;-56,443511
CRO;Base operacional;2016;BR-364;MT;583,000;Nobres;Principal;Decrescente;Ativo;-14,571595;-56,222866
CRO;Base operacional;2016;BR-163;MT;546,900;Diamantino;Principal;Crescente;Ativo;-14,247638;-56,131258
CRO;Base operacional;2016;BR-163;MT;592,300;Nova Mutum;Principal;Crescente;Ativo;-13,871054;-56,087074
CRO;Base operacional;2016;BR-163;MT;640,700;Nova Mutum;Principal;Crescente;Ativo;-13,462659;-56,074481
CRO;Base operacional;2016;BR-163;MT;685,350;Lucas do Rio Verde;Principal;Crescente;Ativo;-13,093078;-55,945072
CRO;Base operacional;2016;BR-163;MT;743,400;Sorriso;Principal;Crescente;Ativo;-12,620351;-55,765536
CRO;Base operacional;2016;BR-163;MT;784,400;Sorriso;Principal;Crescente;Ativo;-12,303085;-55,573744
CRO;Base operacional;2016;BR-163;MT;834,900;Sinop;Principal;Decrescente;Ativo;-11,862119;-55,495680
ECO050;Base operacional;2017;BR-50;GO;117,810;Ipameri;Principal;Crescente;Ativo;-16,919516;-47,696069
ECO050;Base operacional;2017;BR-50;GO;163,790;Campo Alegre de Goiás;Principal;Decrescente;Ativo;-17,286022;-47,757397
ECO050;Base operacional;2017;BR-50;GO;204,510;Campo Alegre de Goiás;Principal;Crescente;Ativo;-17,608412;-47,788694
ECO050;Base operacional;2017;BR-50;GO;266,650;Catalão;Principal;Crescente;Ativo;-18,084280;-47,869696
ECO050;Base operacional;2017;BR-50;GO;312,300;Cumari;Principal;Decrescente;Ativo;-18,416188;-48,079396
ECO050;Base operacional;2017;BR-50;MG;43,750;Araguari;Principal;Decrescente;Ativo;-18,704592;-48,190154
ECO050;Base operacional;2017;BR-50;MG;86,720;Uberlândia;Principal;Decrescente;Ativo;-19,022214;-48,204740
ECO050;Base operacional;2017;BR-50;MG;138,650;Uberaba;Principal;Decrescente;Ativo;-19,464173;-48,057220
ECO050;Base operacional;2017;BR-50;MG;173,150;Uberaba;Principal;Crescente;Ativo;-19,762739;-47,977166
ECO101;Base operacional;2020;BR-101;ES;1,031;Pedro Canário;Principal;Crescente;Ativo;-18,183235;-39,922408
ECO101;Base operacional;2020;BR-101;ES;45,521;Conceição da Barra;Principal;Crescente;Ativo;-18,519311;-39,912780
ECO101;Base operacional;2020;BR-101;ES;86,820;São Mateus;Principal;Decrescente;Ativo;-18,865389;-39,939441
ECO101;Base operacional;2020;BR-101;ES;125,042;Linhares;Principal;Decrescente;Ativo;-19,177521;-40,091531
